text,source,suspect_score,signals,label,note,llm_label,llm_reason
"ร้านเป็ดย่างในตำนานที่ผ่านร้อนผ่านหนาวมาหลายชั่วคนมากกว่า100ปี อยู่ตรงข้ามโรบินสันบางรัก ไม่สามารถจอดรถหน้าร้านได้ แต่ก็ไม่ทำให้คนกินน้อยลงไปเลยทั้งไทยจีนฝรั่ง ร้านห้องแถวห้องเดียวมีให้บริการทั้งชั้นบนและชั้นล่าง มนต์เสน่ห์ของร้านเก่าโต๊ะโบราณบวกกับรสชาติและการบริการที่ถือว่าเร็วถ้าดูจากจำนวนคนยังกะจะแจกฟรีก็ว่าได้

ข้าวหน้าเป็ดย่าง หนังบางเนื้อนุ้มๆชุ่มด้วยน้ำราด รสหวานนำ ตัดเปรี้ยวเค็มด้วยน้ำจิ้ม เนื้อเป็ดค่อนข้างหนาแซกด้วยส่วนผสมที่ใช้หมัก ไม่มีกลิ่นสาบ เนื้อเป็ดมีรสของตัวเองไม่แห้ง 

ข้าวขาหมูรมควัน ใช้น้ำราดเดียวกับเป็ด หวานนำแต่ตัวหนังให้ความกรุ๊ปกรอบ เคี้ยวง่ายอร่อยไปอีกแบบ

ติ่มซำ เสียบไม้แต่ละลูกขนาดพอคำ ใช้แป้งเกี๊ยวห่อแค่ฐาน ได้รสหมูและสาหร่าย ตัวไม้สาหร่ายมีเพียง3ลูก",wongnai,4,"ชม:ดี; ชม+แย่:รอ,นาน,เสีย",,,0,ชมรสชาติและบริการจริงใจ
"วันนี้ระหว่างมาทำธุระที่ว่าการอำเภอบางพลี ระหว่างรอเจ้าหน้าที่พักเที่ยง ได้มีโอกาสมานั่งจิบกาแฟชมวิว ถ่ายรูปเล่นค่ะ
สั่งกาแฟคาปูชิโน่ไม่หสวานไป 1 แก้ว และแบบธรรมดา 1 แก้ว
รสชาติอร่อยกล่อมกล่อม หอมกลิ่นเมล็ดกาแฟคั่วมากค่ะ
มีโรยผงชินาม่อนประดับและเพิ่มความหวานแบบธรรมชาติๆให้ด้วยค่ะ
แก้วน่ารัก ตกแต่งด้วยดอกไม้คิขุมาก อยากเก็บแก้วกลับไปใช้ต่อจริงๆ แต่ไม่มีโอกาสค่ะวันนี้มือไม่ว่างเลย ><""
ถ้ามีโอกาสระหว่างรอทำธุระอย่างลืมมาแวะนั่งจิบกาแฟริมแม่น้ำของร้านนี้กันนะคะ
บรรยากาศร้านน่ารักมากๆ ประดับประดาด้วยดอกไม้หลากหลายชนิด ร้านอยู่บนเรือนแพ ติดแม่น้ำ มองเห็นปลาได้เลยค่ะ",wongnai,0,,,,0,ชมจริงใจ ร้านกาแฟบรรยากาศดี
"ร้านสวยบรรยากาศดีมากๆอีกร้านนึงในกรุงเทพ เป็นร้านกลางแจ้งค่ะ ตึกก็ตกแต่งด้วยสีสดสวยงาม ร้านมี2ชั้น ถ้าชั้น2 จะสามารถมองเห็นเวทีดนตรีสดได้ชัดเจน ตอนกลางคืนมีดนตรีสดนะคะ เป็นเพลงฟังสบายๆ อาหารที่นี่เน้นเป็นอาหารไทนแนวฟิวชั่น กับอาหารอิตาเลี่ยนค่ะ อาหารจานใหญ่และราคาค่อนข้างแพง วันนี้สั่งเป้นสปาเก็ตตี้คาโบนาร่า เส้นสปาเก็ตตี้ลวกมาได้เหนียวหนึบกำลังดี เบคอนที่โรยมากรอบอร่อยเค็มค่ะดีค่ะ แต่คิดว่าจานนี้ผัดมาแห้งไปหน่อย แต่โดยรวมรสชาติดดี อีกจานเป็นยำเเซลมอนรสชาติมาตรฐานค่ะ
ให้  4 ดาว",wongnai,4,"ชม:ดี,เทพ; ชม+แย่:รอ",,,0,รีวิวยาวที่มีทั้งข้อดีข้อเสียตามจริง
"การตกแต่งของร้านแปลกตาแนวความคิดมาจากหนังสือเรียนมานะกับมานีซึ่งเด็กสมัยนี้อาจไม่รู้จักแล้วแต่จะบอกว่าตัวเองแก่ก็กะไรอยู่ พอเคยได้ยินมาละกัน55555
อาหารรสชาติเหมือนสุกี้แต่น้ำจิ้มอร่อยดีค่ะทานได้เรื่อยๆมีเมนูให้สั่งหลากหลายอย่าง
พนักงานร้านต้อนรับดีด้วยหน้าตายิ้มแย้มค่ะ
เข้ามาเหมือนหลุดมาโลกของมานีเลยพรักงานในร้านเปนมานีกับมานะด้วยค่ะการแต่งตัว >.<
น่ารักดีค่ะ",wongnai,6,ชม:ดี; 555; ยืดอักษร; ชม+แย่:รอ,,,0,ชมตกแต่งและบริการจริงใจ
อาหารทำอร่อยดี สั่ง ยำไข่เยี่ยวม้า กับ ลาบหมูมากิน แต่บริการแย่มาก ไม่ค่อยสนใจลูกค้า ผมมาคนเดียว นั่งอยู่ประมาณ 10 นาทีก้ยังไม่มีใครมารับออเดอร์เลย มัวแต่สนใจลูกค้าที่มาเป็นกลุ่มๆ ขนาดผมมาก่อนลูกค้าบางโต๊ะยังไม่สนใจเลย จนต้องเดินไปสั่งเอง ใครที่คิดจะมากินเป็นกลุ่มก็ถือว่าโอเค,wongnai,4,ชม:ดี; ชม+แย่:แย่,,,0,ตำหนิตรงๆ เรื่องบริการแย่
"ทริปนี้ไปทำงานค่ะ ขับรถผ่านเลยลองแวะ สะดุดที่ชื่อร้านค่ะ
ด้านหน้าติดถนน ด้านหลังติดทุ่งนา แต่งร้านเป็นไม้ค่ะ มีซุ้มไม้ไว้บริการด้านล่าง และด้านบนค่ะ

ช่วงที่ไปถึงประมาณ 17.30 น. ฟ้าเริ่มสลัวค่ะ เราเลือกนั่งซุ้มไม้ด้านบน บรรยากาศดีค่ะ ไม่มียุงมารบกวนด้วย

อาหารที่สั่ง คือ ปูนิ่มผัดผงกะหรี่ จานใหญ่ค่ะ มีปู 4 ตัว เหลือใส่ถุงกลับบ้านด้วย, ไก่ทอดเกลือ ถ้าทานเปล่าๆ เค็มค่ะ ก็ทอดเกลือนี่เนอะ ถ้าเป็นกับแกล้ม หรือทานกับข้าว อร่อยค่ะ, กุ้งอบวุ้นเส้น ใช้กุ้งแม่น้ำ มีกุ้ง 5 ตัว วุ้นเส้นกำลังดีค่ะ ไม่แฉะด้วย

แวะร้านอีสาน แต่ไม่ได้สั่งเมนูอีสานเลย ไว้มีโอกาสค่อยแวะชิมแล้วจะมาเล่าให้ฟังนะคะ",wongnai,4,ชม:ดี; ชม+แย่:ไม่ได้,,,0,รีวิวมีทั้งข้อดีข้อเสียตามจริง
"มาหลายครั้งแล้วร้านนี้ จำได้ตอนมาครั้งแรก ได้เปลี่ยนความรู้สึกไปโดยสิ้นเชิง 
จากเมื่อก่อน เป็นขาประจำร้านอาหารญี่ปุ่นขาประจำที่มีสาขาอยู่ในห้างเกือบทุกห้าง คือ อร่อยและราคาสมเหตุสมผลแล้ว

แต่หลังจากได้มาร้านนี้ ก็เลยรู้ว่าไม่ใช่ ดีกว่าและราคาถูกกว่า มันเป็นอย่างไร 

ลองมากินดูครับ แล้วจะรู้สึกเหมือนกัน",wongnai,1,ชม:ดี,,,0,ชมจริงใจไม่มีการเหน็บ
ร้านนี้ตกแต่งน่ารักค่ะร้านไม่ใหญ่มากเมนูก็ไม่มากเท่าไหร่เน้นขายมาการองกับเครปเค้กที่เรียกว่าเครปพันชั้น เคยเห็นออกทีวีด้วยค่ะ ร้านนี้เปิดมานานแล้วคนมากินก็เต็มร้านนะคะเพราะโต๊ะไม่มากด้วยเราลองทานstawberry short cakeอร่อยค่ะไม่หวานเนื้อเค้กไม่ร่วน,wongnai,0,,,,0,ชมการตกแต่งและอาหารตามจริง
"..... ร้านนี้มีกลิ่นอายสไตล์คันทรี่ ตกแต่งด้วยไม้ทั้งหลัง และรูปของศิลปินระดับโลกคนนึง อันนี้ไม่รู้จัก น่าจะเป็นความชอบส่วนตัวของเจ้าของร้าน

..... วงดนตรีเป็นแนวยุค 60's รุ่น ชาตรี แมคอินทอส วงพลอย วงเพื่อน รอยัลสไปรท์ เป็นเพลงรุ่นคุณพ่อเป็นจิ๊กโก๋นั่นเอง วงเล่นดี นักดนตรีค่อนข้างรุ่นใหญ่ มีอายุ ไม่มีเพลงใหม่ ถ้าชอบเพลงเก่าก็ต้องมาร้านนี้เลย

..... ในส่วนของรสชาติอาหารสั่งไป 4 อย่าง 
-ปลากะพงทอดน้ำปลา ตัวปลาไม่สดเนื้อยุ่ย น้ำยำเปรี้ยวไปนิดนึง
-หมูมะนาว น้ำยำกับหมู รสชาติแยกกัน หมูจืดไปเมื่อไม่มีน้ำยำ
-ตะกร้าครอสโรด เป็นกุ้งชุบแป้งทอดตัวเล็กๆใส่ตะกร้าที่ทำจากแป้ง มันๆ เฉยๆ
-เอ็นข้อไก่ทอด  รสชาติทั่วๆไป 

..... การบริการ น้องเด็กเสิร์ฟที่ดูแลโต๊ะเรา เค้าใส่ใจดีนะ ชื่นชม ^^  
ราคาค่อนข้างแพง แต่ถ้าคิดว่า ซื้อบรรยากาศ ซื้อวงดนตรีเล่นสดดีๆ ก็คุ้มอยู่ จบ.",wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:รอ,,,1,ชมบริการสื่อแย่ ราคาประชดชมบรรยากาศ
shishedo กับ anessa อันไหนดีกว่ากันคะ,wisesight,1,ชม:ดี,,,X,คำถามต้องการคำตอบ ไม่มีเจตนาประชด
อีกสองวันเท่านั้น ก็จะปิดแล้ว ใจหายเหมือนกัน แต่ก่อนก็ต้องมาซื้อของที่นี่แหละ ซึ่งเป็นห้างเดียวในบริเวณนี้ เราพาลูกมากินแม็คโดนัลประจำตั้งแต่ลูกเล็กๆ จนตอนนี้ลูกเราทำงานกันหมดแล้ว,wisesight,4,ชม:ดี; ชม+แย่:หาย,,,0,แสดงความผูกพันและเสียดายจริงใจ
ร้านนี้เป็นร้านขนมหวานชื่อน่ารัก ตั้งอยู่ที่อาคารแกรนด์ เฮอริเทจ ตรงทองหล่อค่ะ ร้านเค้าจัดแบบหวานๆเก๋นะ ไม่ได้จัดแบบหวานเว่อร์ ชมพูฟูฟ่องอะไร เค้กชิ้นโปรดของเราที่ร้านนี้ก็คือ โอริโอ้บานอฟฟี่ เสริฟมาเป็นถ้วยแบบกำลังน่ารัก มีทั้งกล้วย โอริโอแลว้ก็สตรอว์เบอร์รี่ รสชาติไม่หวานจนเกินไป กินจนหมดก็ไม่รู้สึกว่าเอียนหรือว่าแสบคอ นอกจากของหวานแล้ว ร้านนี้ก็ยังมีพวกอาหารคาวด้วยนะ มีทั้งเมนูจานเดียวง่ายๆอย่างข้าวผัดอเมริกัน ข้าวผัดต้มยำ แลว้ก็พวกอาหารฟิวชั่นก็มี,wongnai,4,"ชม:ดี,เว่อร์; ชม+แย่:รอ,ไม่ได้",,,0,รีวิวตามจริงไม่มีเสียดสี
กูไม่กินเบียร์ กินแค่285 B52 Smirnoff โชจู,wisesight,0,,,,0,สื่อว่าดื่มเครื่องดื่มอื่นจริง
นิสสันตูดเป็ด แก้ด้วยคับ,wisesight,0,,,,X,ขาดบริบทเกี่ยวกับข้อความที่ชัดเจน
เป็นร้านอาหารอีสาน อยู่ใกล้กับมัสยิด ร้านเป็นตึก 2 ห้อง สะอาด ไม่มีกลิ่นคาวเนื้อ  อาหารส่วนมากจะเป็นอาหารที่ทำจากเนื้อ ราคาก็ไม่แพงถูกมาก ใครไปทานที่นี่แนะนำ เมนู ลาบเนื้อสับ (เราสามารถบอกรสชาติได้ว่าชอบแบบไหน) เสื้อร้องไห้ เนื้อไม่เหนียว หมักได้รสชาติ บางวันจะมีลาบเป็ดด้วย ก็อร่อยดีนะ,wongnai,4,ชม:ดี; ชม+แย่:รอ,,,0,ชมร้านอาหารอีสานดีจริงใจ
แม่จะมีขายแต่ตอนเย็นแต่คนก็เยอะมากบางทีถึงขั้นต้องยืนต่อคิวเลยนะคะบะหมี่ร้านนี้ชื่อดังมีคนทานเยอะอยู่ข้างถนนไม่ค่อยมีที่จอดรถแต่มันอร่อยค่ะน้ำซุปร้านนี้หวานบะหมี่นุ่มเกี่ยวก็อร่อยปูก็เยอะตามราคาค่ะราคาก็ 40 เริ่มต้นค่ะ มีโต๊ะนั่งหลายโต๊ะน้ำดื่มบริการตัวเองต้องจดนะคะเพราะไม่งั้นอาจจะลืมได้คุณลุงคุณป้าบริการดีไม่ดุลูกค้าค่ะอยู่หน้าดีแทคตรงคูเมืองถนนเส้นหน้า Central กาดสวนแก้วหาไม่ยากค่ะราคานี้ไม่แพงเลยใครชอบบะหมี่เกี๊ยวปูแนะนำให้ไปลองทานดูนะคะ,wongnai,1,ชม:ดี,,,0,รีวิวตามจริง มีทั้งข้อดีข้อเสีย
"ปกติชอบกินเตี๋ยวตำลึงนายแกละบางขุนนนท์นะคะ ร้านนี้ไม่แน่ใจว่าเป็นสาขาหรือแฟรนไชส์ แต่ก๋วยเตี๋ยวซุปไม่ร้อน ลวกเส้นยังไม่ค่อยสุก แข็งไปหน่อย พนักงาน AEC สื่อสารแบบงงๆ

รสชาติก๋วยเตี๋ยวต้มยำพอทานได้ค่ะ เครื่องในลวกสุกกำลังดี อร่อย ไม่แข็ง แต่ฝากดูเรื่องความสะอาดของช้อนด้วยค่ะ หยิบออกมาจากกล่อง คันนึงมันแผล็บยังมีคราบพริกป่นติดเพียบ อีกคันนึงมีผักชีติดมาทั้งใบ เห็นแล้วแหยงค่ะ",wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:งง,,,0,ตำหนิตรงๆ มีทั้งข้อดีข้อเสีย
"ปกติขี่รถผ่านเส้นเวียงบัวแทบทุกวัน เพิ่งรู้ว่ามีร้านราเมนรสเด็ดอยู่แถวนี้ด้วย 555 

วันนี้ว่างๆ เลยมาลองราเมนลึกลับเส้นเวียงบัวซักหน่อย 

พอเข้ามานั่งในร้านเห็นป้ายเมนูก็แอบตกใจชื่อร้าน . . . ""ราเมนอร่อยร้องให้"" ในใจก็คิดว่า เอ กลับทันมั้ย 555 แต่ไหนๆ ก็มาแล้ว ต้องลุย เจ้าของร้านที่ออกมารับออเดอร์และเป็นพ่อครัวด้วยเหมือนจะเป็นคนญี่ปุ่นไม่งงั้นก็ครึ่งจีนหรือญี่ปุ่นแน่ๆ เขาดูเงียบๆ เราเลยไม่ค่อยกล้าเล่นมุก 555 ตอนแรกอยากสั่งมิโซะกระดูกหมู แต่งบไม่พอเลยสั่งมิโซะธรรมดาก่อนละกัน นอกจากนี้ยังมีเกี๊ยวซ่าย่างด้วย รอแป๊ปเดียวก็มาเสิร์ฟแล้ว เร็วมาจริงๆ ซดน้ำซุปคำแรกก็บอกได้เลยว่าเข้มข้นพอตัวเลยทีเดียว มีเครื่องเคียงทั้งถั่วงอกต้นหอมหมูตุ๋นและไข่ ถั่วงอกกรอบเคี้ยวมัน หมูตุ๋นก็เนื้อแน่นมันไม่เยอะมาก ส่วนไข่ต้ม เพอร์เฟ็กมากสุดๆ ที่สำคัญคือถูกมาก ชามนึงสั่งมาร่วมๆ ไม่ถึงร้อยเลย คุ้มมาก สำหรับใครที่ชอบราเมนสไตล์ญี่ปุ่นจริงๆ แนะนำครับ PEACE!!!!!",wongnai,6,"ชม:ดี,สุดๆ; 555; ยืดอักษร; ชม+แย่:รอ,งง",,,0,รีวิวชมตามจริง ไม่มีการประชด
เป็นคาเฟ่เล็กๆ อยู่ตรงทสงเข้าตลาดนัดรถไฟ โดยทั่วไปต้องนั่งพื้น ที่จอดรถปกติสำหรับจอดมอเตอร์ไซด์อยู่ข้างถนน ความสะอาดค่อนข้างน้อย เดินแล้วเหนียวเท้า แมวชอบทะเลาะกัน แต่อุ้มแมวได้ มีขนมของหวาน น้ำต่างๆให้ลองชิม,wongnai,0,,,,0,รีวิวยาวมีทั้งข้อดีข้อเสียตามจริง
"ไปมาอีกครั้ง แอบชอบร้านนี้กว่าอีกร้่นดังตรงข้ามนมมนต์

ตกใจ เจอเพื่อนที่อยู่ กทม โดยมะได้นัดหมาย

อาหารก็ยังอร่อย ปราณีตดีตามมาตรฐาน

สั่ง extra avogado มา อโวกาโด้สด อร่อยดี

สั่งโอเพ่นแซนวิชไรมาไม่รู้ ชี้เอาจากในรูปคนอื่นในวงในนี่ล่ะ
จะบอกว่าแอบมีกลิ่นแขกๆอินเดียๆพอควรเลย มีสกีนี่ด้วย อร่อยดี แต่ถ้าใครไม่ถูกกะอาหารอินเดีย เมนูนี้อาจไม่ถูกปากนะครับ

ราคา ก้ออย่างที่รู้ๆไม่ถูก

แต่ก้อหนักแน่นพอสมควร ต้องสคิปข้าวเที่ยงไปเลย

วันนี้คนเยอะ โต๊ะเต็ม..... ออกแนวคึกคักๆๆๆ ไม่ค่อยชิลเท่าที่ควร",wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:รอ,,,0,รีวิวยาวที่มีทั้งข้อดีข้อเสีย
"I ate the cheapest buffet, which has only 2-3 types of pork and beef. But that's not the problem at all. The taste is soft, mild and the soup is so rich and yummy. I chose the sukiyaki soup that goes with raw egg dipping. I normally don't eat raw egg but this is so goooood with beef. Recommended for people who like rich quality beef sukiyaki.
The total price after 10% discount was around 516 THB per person.",wongnai,1,ยืดอักษร,,,0,รีวิวยาวมีทั้งข้อดีข้อเสียตามจริง
"ก๋วยเตี๋ยวต้มยำ ใส่หมูบะช่อแผ่นใหญ่ ใส่ไข่ต้มยางมะตูม มีให้เลือกความเผ็ด 3 รสชาด คือ ก๋วยเตี๋ยวต้มยำลูกเจี๊ยบ, ลูกกรุง และลูกทุ่ง เจ้าของร้านลงมือทำเอง เป็นลุงกับป้า ไม่มีลูกจ้าง คนมาทานเยอะ ต้องรอคิว ถ้าจะให้ดีต้องมาก่อนหิว!",wongnai,4,ชม:ดี; ชม+แย่:รอ,,,X,บอกข้อเท็จจริงหลายด้าน ตัดสินไม่ได้
กลับมาแล้วคือบอกช้า,wisesight,0,,,,1,บอกช้าสื่อว่าไม่พอใจ
