text,llm_conf,label,note
ดีนะกุกินแต่ช้าง555,0.9,0,
เดี๋ยวจะเปลี่ยนมากินสิงห์ล่ะ 5555,0.9,0,
แล้วผ้าอนามัยแบบเย็นที่นี้เสือกเย็นเว่อร์ ยิ่งกว่าโซฟีคูลลิ่งเฟรชอีก โง่ไงอ่านไม่ออก เสือกหยิบมา 5555555,0.9,1,
จริงๆแจกผ้าอนามัยก็ดีนะ แต่อย่าเอาแบบเย็นมาแจก เย็นมากเว่อร์ 55555 กลิ่นค่ดชวนปวดหัว,0.9,0,
แต่สำหรับนี่ มันซึมซับไม่ดีอ้ะ555555 เลอะตลอด แต่เพราะแพ้ผ้าอนามัยมาเกือบทุกยี่ห้อแล้วมันจึงเป็นทางเลือกที่ดีค่ะ55555555555555,0.9,0,
เก็บเงินค่าน้ำมันไว้ซื้อHoegardenn ดีกว่าเนาะ555,0.9,1,
ก็เอาตังมาเดี๋ยวเลี้ยง5555,0.9,0,
อยากบอกว่าาา ไปแดกเบียร์ล้มช้างไปเล่ออออ ดูสิ ใครจะล้มก่อน ยักไปวันที่ 31 ตั้งใจจะเคาน์ดอ แต่ไม่ล่ะ เคาน์ดาวดีกว่าาาาาา 5555555555,0.9,0,
อยากได้ลิปอีทูดี้ที่ออกใหม่นะ แต่แม่งโคตรแพง55555555555555,0.9,0,
แกนั่นแหละจะทิ้งฉานไปมีผู้ก่อน..ฉานก้อต้องนั่งเหี่ยวกินบาบีกอนคนเดียว (ชัว!!)555,0.9,0,
ดีน่ะที่ไม่กินเรดเพราะกินแต่สี่สิบ5555,0.9,0,
ฝีมือกูนี่ ฝึกกับเมเบอลีนไปก่อนดีกว่า 55555,0.9,1,
มีช้างมั้ยคะ...พอดีไม่ชอบเบียร์ผลไม้!!!!! 5555,0.9,0,
สุตรห่ามันหยัง กินเหล้าเที่ยว มื้อเว้นมื้อ 😅😅 แสงโสมยาดี 5555555,0.85,0,
ไม่คิดว่าอยากมีผัวขับดีแม็คมั้งหรา 5555,0.85,0,
ค่า city ตัวท็อป ราคาคือ 7.4 แสน เกือบได้ MG กูอ่ะ 55555 แพงผีแต่รถดีอยู่ พี่สาวชื่นชมใหญ่เพราะนางขับกลับ แม่ยังขับไม่เป็น 55555,0.85,1,
ขอแม่ซื้อแอลกอฮอล แม่ซื้อสปายให้ บอกดีกรีน้อยดี เอาไปแค่นี้ 5555 คือปกติไม่เคยจะให้,0.85,0,
ระวังเป็นเนื้อแบบเกรดมะดีแบบของแมค55555555 แต่ว้อยอยากกินนน,0.85,1,
แดกปลายฟ้าดีกว่า ประหยัด5555,0.85,0,
โหนุ้งอลังการมากเว่ออออ เจ้เค้าซื้อลิปอีทูดี้มาอันเดียว5555555555,0.85,0,
4 คน 20 พอดีงบ55555,0.85,0,
ก็แนวเดียวกับสเมอร์นอฟแหละ รสชาติใกล้เคียงกระทิงแดง555,0.85,0,
ไปลองแป้งเจ้านางมา มันอะเมซิ่งมากกกกก เอาตรงๆ มันดีกว่าเบอเบอร์รี่อีก 555555555 แต่แพ็คเก็จมันกะล็อกก็อกแก็กมากๆ แพงไปสำหรับ 390,0.85,0,
กำลังแรงช่วงนี้ ดีนะพี่ไม่ขาย555,0.85,0,
ไม่กิน เพราะไม่มีกุ้งต้ม กุ้งเทมอย่างเดียว เจ็บคอนาาาา 555,0.85,0,
โอ้ยยย ยอมแล้วคะซิสสส เจ้าแม่ชาบู หมูทะ จิ้มจุ่ม mk จ้างกินกันเลยที่เดียว555555,0.85,0,
ทนนะๆๆ ทนกว่าทิ้นอีทูดี้ สีสวยดี แดงแบบไม่เหมือนใคร 555555554555544544,0.85,0,
ราคามีร้อง กลับไปมองโตโยต้าดีกว่า55555,0.85,1,
เมนูเหล้าปั่น jack daniel honey ผสมไอติมวนิลาครับ ดูดลื่นนุ่มคอหอมหวาน เมาแบบไม่รู้เรื่องกันเลยทีเดียว 5555,0.85,0,
ไม่ค่อยอินกับพาเลทตาของลอริอัล ไปเล่นจูเวียแบบเดิม ติดทนดี แตะนิสเดียว 5555,0.85,0,
พี่มีประสบการณ์ลบ HOTPOT สมัยอยุ่กรุงเทพ คงไม่กินอีกแล้ว 5555,0.85,0,
จะลุ้นผชด.งานที่โชว์ดีซีต้องใบเสร็จ 500 อัพอะแพงกว่ากัซอีกกัซแค่200เองจะเปย์คนไทยต้องแพงขนาดนี้ลาก่อยไม่เปย์เราก็คุยได้ถ่ายรูปได้กอดได้ละ555,0.85,1,
ถ้าใส่แล้วเอาออกไม่ได้ทำไงอะ ไม่รู้ความลึกความตื้นอีก 55555 ใส่ผ้าอนามัยเหทือนเดิมดีกว่า,0.85,1,
รองพื้นของไรดีมั่ง เอสเต้เอาหน้าชั้นไม่อยู่แล้ว555555555555555,0.85,0,
ล้างท้องรอเลย เงินเดือนออกพอดี 5555,0.85,0,
โชคดีกุรอดตัวไปเพราะว่ากุไม่กินเบียร์ช้าง+555666,0.85,0,
สีเขียวก็ดีอยู่แล้ว แต่อาจจะเพราะเป็นสีของเบียร์ช้าง ก็เลยเปลี่ยน แต่ถ้าจะเปลี่ยน มีสีตั้งเยอะแยะ ทำไมต้องใช้สีนี้ 55555555,0.85,1,
เออ กินละ โฮการ์เด้นก็ไม่ได้อร่อยขนาดนั้นอะ อืมๆ กินเบียร์ถูกดีกว่า55555555,0.85,0,
ถ้ายัดโบดีแม็กซ์​ 3000 มัน​ก็​รอรอบสิ 555,0.85,0,
ชาชีสของเอ็มเคก็ไม่รอดเหมือนกัน ชีวปลอมมาก55555ดีหน่อยที่ชาเย็นไม่หวาน ร้านที่สยามดิสนี่อร่อยสุด สมราคาแล้วเมื่อเทียบกับของก๊อบ 😅,0.85,0,
หรอ.. อะเคร ไปถอนที่บาบีก้อนดีก่า555555,0.85,1,
5555ดีแทคนี่ก็หายากจะกินเอ็มเคเอาน้ำฟรีเงี่ยหาไม่เจอ,0.85,0,
เดียวกูนุ่งชุดไทยแบบงานแต่งไปแม่งเลย 555,0.8,1,
เดี๋ยวนี้เลย555,0.8,0,
สาวกรีโว่ชักดิ้นชักงอ555 ประหยัด ทนทาน ต้องดีแม็กซ์,0.8,0,
อ่ะ เมื่อวานพึ่งไปโชว์ดีซีมาาาไม่เห็นรูปว่าเปิดแล้ววว 555555 #รีล่า,0.8,0,
ดีแล้วยู เบียร์ไม่อร่อย 55555,0.8,0,
หรอ กูว่าดีกว่า 285 นะ แต่ถ้ามีตังก็ รีเหมือนเดิม 555 // ง้วงเอง,0.8,0,
พรุ้งนี้ดีไม วันพุธพอดี55555,0.8,0,
ยังหาครีมที่มาลบล้่างความดีงามของซันวาซูมิได้เลย ทั้งขาวทั้งใส ไร้สิว แต่แพง ยอมหน้าพัง 555445,0.8,1,
เพิ่งรู้เดี๋ยวนี้เค้าเอามิวเซเว่นมาทำสองแถวแล้ว555+,0.8,0,
ไม่เคยกินแสงโสมอะ เหล้าไรวะเนี่ย มึนหัวชิพหาย กินนิดเดียวเอง 5555555,0.8,1,
ชญานันทน์ ปัญญา เอาสเมอนอฟแช่ แล้ว ราดด้วยโซจู ดีม่ะ555,0.8,0,
ทำไมอ่ะพจน์ ไม่ดีหรอ กินเบื่อละครั้น555,0.8,0,
ดีนะเราไม่กินเบียร์ช้าง555,0.8,0,
พรุ่งนี้หยุดวันพุธพอดี555,0.8,0,
น้องแสงโสมอี้บ๋อ กะว่าน้องโซดา น้ำแข็งดี เอ๊ะหรือเหล้ากึ่งแก้วน้ำล้วนโซดาลอยดีหา 5555,0.8,0,
เวลาวันหยุดจะกินข้าวมื้อเย็นทีเดียวอะ แล้ววันนี้กินข้าวเสร็จซัดบาร์คาดี้ไป 2 ขวด แอลกอฮอล์กัดกระเพาะไปเลย นอนทรมานอยู่นี่55555555,0.8,0,
เลิกขับดีแม็กละ ไปออกนิสสันดีกว่า 555,0.8,0,
เดียวพอนานๆไปเค้าเเจกนิ เชื่อตะเอาไปไหนไม่ตรึก 555 แค่กินเบียช้างตามร้านเหล้าเค้าก้เเจกแล้ว. เดียวเอาไว้ไห้,0.8,0,
เดี่ยวก้อเช้าละ 555,0.8,0,
มาา บอนชอนมันคือยาเสพติดล่ะ55555 น้ำจิ้มบาบิก้อนด้วยแงงง มาม่าบ่อยไม่ดีนา../เปิดเถิกโค่ให้ดู--,0.8,0,
ไปหมอลำดีกว่า งาน285 กินบ่เป็น555,0.8,0,
แรง ประหยัดน้ำมัน ราคาไม่แพง เอาแล้วตรู จะนอกใจmz2ดีมั้ย เบื่อAlmeraละ555555,0.8,0,
เห็น Netflix โปรโมตเรื่อง Tidying Up with Marie Kondo แล้วอยากให้นางมาจัดบ้านให้แม่มากกกกก นางเก็บของเก่ง 5555555,0.8,0,
วันนี้กูเจอตำมวดกำหงษ์ทองขับมอไซต์555ไม่ได้ถ่ายเก็บไว้มันไม่ดี,0.8,0,
วันนี้ไปบูทไฮเนเก้นมา ไม่ถูกจริตอ่ะ ปกติก็ไม่ถูกจริตกับไฮอยู่แล้ว 5555555 วันหลังไปไหนดี,0.8,0,
คอยดูนะมิงถ้าสกินฟู้ดไม่ดีกูจะมาโวยในแท็ก 5555555555555555555555555555,0.8,0,
ไปต้าปิ่นโหล๋วดีกว่ามั้ย 555555,0.8,0,
กุยอมใช้ผ้าอนามัย ดีกว่า 555,0.8,0,
มีดีวยหรอ ออฟตรงกัน5555,0.8,0,
กินไรระวังๆด้วย เป็นเรื่องนี้บ่อยอะ แต่ว่สต้องหาเวลาไปกินบาบิก้อนนะเดี๋ยวจะยาวจนถึงจองบัตรรอบหน้าซะก่อน5555555,0.8,1,
เดี๋ยววันหลังจะปรับปรุงนะคะ (ไม่ได้เอาตัวมีฝีออกนะ) จะตัดแค่ฝีออกเฉยๆ 5555,0.8,0,
เบน285 แม่โขง แสงโสม รีย์ ก็ดีน่ะ 555,0.8,0,
เดือนหน้าเดี่ยวก็มีมาอีกแหละมั้ง โปรอ่ะ 5555555,0.8,0,
อัดอั้นมานาน 5555 งั้นเดี๋ยวดูอีกทีนาา,0.8,0,
มันดีปะอ่ะ คือเห็นตลับมันอินสปายจาก tarte เลยมะค่อยอยากซื้อ 555555 เคยใช้รุ่นแมท สีดีอยู่ แต่ก็เป็นก้อนอ่ะ รุ่นนี้มันดีมะ #ไว้รีวิวห้ามขายของของโว้ยย,0.8,0,
แงงงง ฝากถ่ายรูปด้วยค้าบบ เห็นนางดื่มช้างแล้วใจไม่ดีเลย5555555555,0.75,0,
รักอิสระทำให้เราอยากกินพิซซ่า ยาคูล ชีสไบท์ ไวล์มอลปั่นใส่มุก หมูกระทะ และช้างอีกลัง ...อันหลังไม่ดีมั้ง 5555,0.75,0,
อิอิ พอดี๊ พอดี 555,0.75,0,
เอาไงดี คืนนี้ยังไม่มีที่ลง 555,0.7,0,
Honda CR-V ผมก็เป็นครับ เริ่มจะเบื่อกับรถที่มีชายล่างเป็นพลาสติกสีด้านแบบนี้ เดี๋ยวปั๊ดจับทำสีให้หมด55555,0.7,1,
ไม่ชอบบบ หมูจุ่มชีสดีกว่า 555555,0.7,0,
พี่นันไปจัดมาแล้ว ก็เหลือเรา 2 คน ไปจัดกันมั่งดีกว่าจ้ะพี่ตา 555,0.7,0,
"เห็นคำว่า ""อ้วน"" คำแรก5555 ถัดมาเจอ ""พันล้าน"" แล้วก็เห็นคำว่า ""ลอรีเอะ"" พอดี",0.7,0,
อยากหัวเราะให้ตัวเองจังเว้ย คนอื่นเค้ารอวันเดียวก็ได้อัพ ส่วนของเรานะเรอะ 1-2 เดือน 😂😂😂😂,0.95,0,
จะไม่รวยได้ไง. เบียร์ช้างขายดี้ดี... ซีพี 7 กรู ก็เข้าทุกวัน.. #ผู้สนับสนุน😂😂,0.9,1,
มันไม่ดีตรงไหนปวดจิตกับยุคปัจจุบัน อาวุธสงครามจงเจริญ 🙄🙄🙄,0.9,1,
เดี๋ยวเอาไปปาหน้านะคะ🙄🙄🙄🙄🙄,0.9,0,
ยอดขายดี...แต่ต้องควบรวมกิจการกับนิสสัน...เพื่อความอยู่รอด...😂😂😂...,0.9,1,
สเมอนอฟนี่จัดเป็นแอลประเภทเบียร์หรือเปล่า ไม่มีความรู้ด้านนี้ รู้แค่ไม่หร่อยเลยย 😑😑😑,0.9,0,
พม่าแดกเบียร์ kirin คนไทยแดกเบียร์ช้าง ทำไมช่างแตกต่างกันซะขนาดนี้ บัตรก็ถูกกว่า 🙄🙄🙄,0.85,0,
โดนัทมั้ยแฟน hotpot มั้ยแฟน KFCมั้ย เห้อมมม......🙄,0.85,0,
อย่าว่าเลย ที่ฟินแลน สูบบุหรี่ผิดกฎหมาย แต่ดูดกัญชาถูกกฏหมาย🤣🤣🤣🤣🤣🤣🤣,0.85,1,
เป็นตุ่มที่เกิดจากการอักเสบของเม็ดเลือดขาวที่ตายแล้วก็ยังอี๋ๆ ไม่อยากกินอยู่ดีนะ 🤣🤣🤣,0.85,0,
Ford เก๋งแนะนำให้ตรวจเช็คเปลี่ยนถ่ายน้ำมันเครื่องที่ 15000 กม. (Ranger ไม่แน่ใจ) แปลว่าของเจ้าอื่นเทพกว่าหรือของเราห่วยครับ?,0.85,0,
เดี๋ยวนี้บังคับเป็นน้ำซุป4ช่องหมดเลยเหรอคะ เลือกแค่2ซุปได้มั้ย Hot Pot Buffet 🤣🤣🤣,0.8,0,
หงษ์ทอง ผู้สนับสนุนหลักอย่างเป็นทางการ ดูหน้ามันตอนท้ายๆคลิปครับ เหมือนยืนกัดกราม โมโหก็โมโห ทำไรมันก็ไม่ได้ อาการแบบหงุดหงิด คิดไม่ออก ไปดีกว่า 🤣🤣🤣,0.8,0,
ถูก ที่ทำมาหลายแบรนด์ก็เพื่อความอยุ่รอดของตัวมันเองนั่นแหละ บางคนแอนตี้หงษ์ทอง แต่เสือกแดกแสงโสม หารู้ไหมว่ามันเจ้าของเดียวกัน 😂,0.95,0,
ฮือออเสียใจมากอะรู้งี้ซื้อแป้ง laura เหมือนเดิมดีกว่าลดเหลือ 999 เอง 😭😭😭,0.95,1,
คือทำไม sephora us ต้องไม่รับบัตรไทยกุงง กุผิดอัลไลลล มึงเอาตังกุไปเถอะะ กุอยากได้ของงงง ชาตินี้ที่ไทยแม่งก้ไม่เอามาขายยุดี ฮือออออออ,0.95,0,
ใต้ตาดำชิบหาย ละยังแพ้การ์นิเย่อายโรลออนอีก ทาคืนเดียวทั้งแสบทั้งแดง เวนนนนน,0.95,0,
อหหหห ผ้าอนามัยสูตรคูลลิ่งเฟรชนี่มันนนนนนนน ฟหกกดดเ้้่าาววงงฃงงวงว ว้อยยยยยยย ครั้งเดียว พอ!,0.95,0,
มีอย่างละใบหรออออออออ แค่วิเดียว อย่ามีเลย,0.9,0,
เขาเล่นกันยังไง เราก็กดแบบสุกพอดีทุกอันไม่มีผิด แถมกดบาบีก้อนทุกครั้งไม่มีพลาด ยังไม่ถึง 50000+,0.9,1,
"Mก็ของซีพี,ส่วนCนี่ก็ของเบียร์ช้าง สรุปว่าต้องซื้อแพงแต่ขายถูก งั้นยกปท.ให้2ตัวนี้ปกครองเลยดีมั้ย🐃🐃🐃",0.9,1,
"เดี๋ยวๆๆๆ รีโว่ พี่จะวิ่ง200 รอบแค่ 1,000 ผมว่า พี่คงต้องพักผ่อนบ้างแล้วครับ",0.9,0,
นั่นไงครับ!!!! แม่งหาคนหารบาคาดี้แล้วกูก็โดนด้วย หนูเห็นพี่เป็นคนมีเงินหรอเจี๊ยบ,0.9,0,
"ไม่ไปกินอีกแระ,,สาขาโลตัสอุบล บริการไม่ดีเลย จ่ายตังค์นะ ไม่ได้ขอกินฟรี...เด้อ",0.9,0,
แหม...จัดลานเบียร์สิงห์ เบียร์ช้าง ให้เขามาขายแค่น้ำเปล่า ขายโออิชิรึไงวะ เฮ้อออออ สมองไดโนเสาร์สุดๆ มิน่า ถึงไม่พัฒนา แถมยังตะหวงทำไมวะ...อำนาจเนี่ย,0.9,0,
เก๋งหลับในพุ่งชนรถสิบล้อ..แต่ข้างหน้ารถเก๋งไม่เป็นไรเลยสักนิด...ฮอนด้าซิตี้..ของเค้าดีจริง..R.I.P.ผู้เสียชีวิตด้วยครับ,0.9,1,
Fullmoon alcohol 5% กูก็คิดว่าคงไม่เมาหรอก ก็หวานดีหอมดีกินเรื่อยๆ รู้ตัวอีกทีแม่งกินไปห้าขวด โอ้วโหจั๊กง่าวววว,0.9,0,
รshowdcห้างอะไรก็ไม่รู้ว ห้างนี้จะเจ๊งตอนติ่งหมดโลกมั้ยว้าาาา เหมือนคนที่รู้จักก็เป็นพวกเดียวกันทั้งนั้น ไม่ใช่ติ่งเขาก็ไปเดินสยามแล่ว,0.9,0,
มีคนเคยกล่าวไว้ว่า ร้องไห้เสียใจบนแคมรี่ ยังไงก็ดีกว่าร้องไห้เสียใจบนรถเมล์....,0.9,0,
"เบียร์ดีหรือไม่,,,แดรกให้เมาแล้วตื่นเช้านั้นล่ะจะรู้เอง//สิงห์กับไฮเนเก้นผ่าน. หมีกับเชียร์ก็หอมดี,,ตื่นเช้ามายังกับโดนทุบ!!",0.9,0,
จะยังไงก็ได้ครับแล้วแต่บริษัทเลย...แต่คุณเสียลูกค้าใหม่แน่ๆ มาสด้า 3 ใหม่คงไม่ได้จากผมแล้วล่ะ 1 คันหันไปซูบารุเอ็กวีดีกว่า,0.9,0,
นี่หรือ..all new accoed ออกแบบได้...มากเสียดายที่เป็น FC honda ทำดีมาตลอด. เศร้า,0.9,0,
รัฐบาลบริหารประเทศให้ล่มจม...ไม่ได้บริหารให้ดีขึ้น...เลยยอยากให้คนไทยย้ายสัญชาติไปอยู่นอกเลยย,0.9,0,
เปิดคนให้ด่าได้แล้วหรอคะ แหมมม อิห่า เปิดราคา CHR กลัวขายดีหรอคะ ดูรถที่ราคาสมเหตุสมผลที่สุดตอนนี้คือ sienta,0.9,0,
พาไปกินหน่อยยยรอคน ดีที่ ไม่ใช่แมงดา,0.85,1,
รอดูต่อไป แต่ถ้าจะไปนะ โชว์ดีซีไปยาก ถ้าไม่มีรถตัวเองก็ไปลำบากนิดนึง ส่วนตัวคิดว่ามันเป็นห้างที่ไม่มีอะไรเลย...,0.85,0,
เดี๋ยววววววงวว มึ้งงงงงงงงง กุลื้มมมมม กุยังไม่พร้อมมมม มึงตัดตังกุแร้วววเหรออออออ นี่กุต้องดูต่อสินะ #Netflix,0.85,0,
ดอยสุเทพน้องง ไปหมดแล้วววว #pm25,0.85,0,
ยามแม่งหายไปไหนหมดปล่อยให้กูเข็นรถมาสด้า3คันหนักเท่าควายคนเดียวเนี้ย!!!!,0.85,0,
ขายฟอร์จูนเนอร์ สีขาว สภาพมีรอยทั้งคัน ผู้หญิงใช้ มือเดียว ขับมือเดียวตลอดเวลาเพราะคุยโทสับตลอดเวลาาา,0.85,1,
อร่อยยย ชอบมากๆๆๆๆ นี่กินป๋องดำไม่ได้อะจะอ้วกมันรสเหมือนแสงสว่าง กินนี้แร้วฟินนนนนน,0.85,0,
แต่วันนี้ซ่า คือเปงหวัดกระแดะแดกแอล เปงไงอีเชี้ย หายใจไม่ออกเว้ย คนอ่อนนี่มันอ่อนจริงๆ ฟูลมูนขวดเดียวก็ทำกุใกล้ตายได้ เบื่อๆๆๆๆๆ,0.85,0,
.... หลวงลุง สงสัยกินช้างถึงแรงดี... เอาได้วันละ3 เวลา..,0.85,0,
ผ่อนถูกจริงๆครับงวดแรก2000กว่าบาทต่อไป694วีออส2011ครับคุ่มครองเลยครับดีจรองรู้ใจ,0.85,0,
รู้สึกล็อคซิทานเอาไม่อยู่ละเดี๋ยวนี้ ขนาดทาแล้วทาอีกกระดาษยังบาดจนเหวอะได้ อีกนิดจะซื้อ Shea butter เพียวๆ มาทาให้รู้แล้วรู้รอดละะะ,0.85,0,
กูคนเดียวป้ะที่ใช้mamonde 23ละออกชมพูแปร๋นอยู่คนเดียว ทำไมมันไม่ตุ่นเหมือนชาวบ้านเขาบ้างงงง!!!!!!,0.85,0,
....บาบีก้อนอร่อยเหรอ พี่ไปกินครั้งเดียวไม่กินอีกเลย,0.85,0,
