human_label,text,source,suspect_score,signals,llm_label,llm_reason,priority,why
,"คืนนี้มาสนุกในปาร์ตี้ “ตรวจ • ตับ • ไต” กับ “ตู่ • ตอม • แตมป์” ที่ DND (21/09/2017) • Ticket : - At Door : 699 Baht Pick your dress : Fancy Style (nurse, doctor, patient) AGE : 20+ A GOOD TIME IS NOT TO BE DISTURBED RSVP : 094.414.9266 #DNDDoNotDisturb #DNDBoutiquePlayhouse #ChivasMagnum #ChivasExtra",wisesight,0,,X,ไม่ชัดเจนว่าประชดหรือไม่ ต้องการบริบทเพิ่ม,0,LLM ตัดสินไม่ได้ (X)
,นิสสัน นาวาร่า 😌,wisesight,0,,X,ต้องใช้บริบทนอกข้อความ,0,LLM ตัดสินไม่ได้ (X)
,น้ำอัดลม Refill,wisesight,0,,X,ต้องใช้บริบทเพิ่มเติม,0,LLM ตัดสินไม่ได้ (X)
,นิสสันมารชราคา?,wisesight,0,,X,ข้อความไม่ชัดเจนพอ,0,LLM ตัดสินไม่ได้ (X)
,ยังหาชุดไม่ได้เลย ออเจ้า,wisesight,0,,X,ต้องใช้บริบทนอกข้อความ,0,LLM ตัดสินไม่ได้ (X)
,พรุ่งนี้ไปอีกกินเลี้ยงแผนก,wisesight,0,,X,ต้องใช้บริบทนอกข้อความ,0,LLM ตัดสินไม่ได้ (X)
,นิสสัน เอ็กซ์เทรล เหมาะกับรถครอบครัวจริงๆ,wisesight,0,,X,ขาดบริบทว่าชมจริงหรือประชด,0,LLM ตัดสินไม่ได้ (X)
,ตั้งใจจะมากินร้านนี้โดยเฉพาะ จัดการสั่งเลยค่ะ ไม่ต้องลีลา สปาเก็ตตี้ใส้กรอก (ลองก่อน) เชฟทำไม่นานค่ะ แป๊บเดียวมาเสริฟ ทานได้นะคะ แต่ใส้เส้นสปามานิดเดียว กับราคา เกือบ200 บาท ดูแล้ว ไม่ค่อยโอค่ะ ถ้าเทียบกับร้านอื่นๆที่เคยทานมานะคะ ..ถามว่า เป็นคนกินเยอะไหม? บอกเลยค่ะ ว่าเยอะมาก 555(ความคิดเห็นส่วนตัวนะคะ),wongnai,6,"ชม:ดี; 555; ยืดอักษร; ชม+แย่:รอ,นาน",1,ชมในเชิงเหน็บเรื่องปริมาณกับราคา,1,LLM ว่าประชด — ผู้สมัคร positive
,"บูธขายน้ำผลไม้บรรจุขวดยี่ห้อ Soontra นี้มักจะเห็นกันตามสถานี BTS ค่ะ  อย่างสาขาที่ไปมานี้ก็อยู่สถานี BTS สนามกีฬาแห่งชาติ  ออกทางออกด้านที่จะไปมาบุญครองจะเห็นร้านอยู่ทางซ้ายมือก่อนจะถึงทางเชื่อมเข้าห้างนะคะ

น้ำผัก / ผลไม้ ที่นี่มีหลายสูตรหลายชนิด  วางเรียงรายหลากสีดีทีเดียว สำหรับราคาจะอยู่ในช่วงขวดละ 17-37 บาท ขึ้นอยู่กับชนิดที่เลือก  ครั้งนี้ลองเป็นขวดนี้ค่ะ

● น้ำผักและผลไม้รวม (ราคา 27 บาท) – ขวดนี้พนักงานบอกว่าไม่มีการเติมน้ำตาล/น้ำเชื่อมใดๆค่ะ  เป็นส่วนผสมของน้ำสับปะรด น้ำส้ม เสาวรส และบีทรูท  ชิมดูแล้วก็ยังหวานอยู่ แต่คิดว่าน่าจะหวานผลไม้ (มั้ง)  รสชาติความสดชื่นยังไม่เท่าผลไม้คั้นสดแต่ก็ใกล้เคียง ได้รสสับปะรดเด่นกว่ารสอื่น (น่าจะใช้ช่วยย่อยได้ดี  5555)  แต่แอบมีรสขมแบบเปลือกส้มปนทำให้เสียอรรถรสน่ะค่ะ 

ความที่เป็นน้ำผลไม้/ผัก/สมุนไพร แบบบรรจุขวดผ่านการพาสเจอร์ไรซ์มาแล้ว เรื่องคุณค่าบำรุงสุขภาพอะไรที่ทางแบรนด์พยายามชูเป็นจุดขายนั้นเราก็เลยไม่ได้คาดหวังเท่าไหร่ (ถ้าคั้นสดๆเพียวๆดื่มเดี๋ยวนั้นก็ค่อยว่าไปอย่างนะ) แต่ในเวลาที่อยากดื่มอะไรที่สดชื่นดับกระหาย ก็นับเป็นตัวเลือกที่สะดวกพึ่งพาได้ทีเดียวค่ะ",wongnai,6,"ชม:ดี; 555; ยืดอักษร; ชม+แย่:รอ,เสีย,หาย",1,ชมว่าสะดวกแต่สื่อไม่สดเท่าคั้นสด,1,LLM ว่าประชด — ผู้สมัคร positive
,เดียวพอนานๆไปเค้าเเจกนิ เชื่อตะเอาไปไหนไม่ตรึก 555 แค่กินเบียช้างตามร้านเหล้าเค้าก้เเจกแล้ว. เดียวเอาไว้ไห้,wisesight,6,"ชม:ดี; 555; ยืดอักษร; ชม+แย่:นาน,ช้า",1,กล่าวเชิงเสียดสร้อยที่แจกของง่าย,1,LLM ว่าประชด — ผู้สมัคร positive
,"ที่มากินเพราะเห็นเปิดใหม่ รีวิวตั้งแต่บรรไดหน้าร้านเลยแล้วกัน. บรรไดสูง คนแก่เดินลำบากเล็กๆ.  แต่วัยรุ่คงไม่เป็นไร

เข้ามาในร้าน ร้อนอับๆ โต๊ะเล็ก เก้าอี้วางตั้ง2ตัว ถ้านั่งขาเข้าคนละข้าง.  น่าจะจัดแบบ. 4ตัว วางตัวละด้าน รอบโต๊ะ  

วันนี้สั่ง ต้มยำ และไข่ยางมะตูม. คือไข่อ่ะ มันสุกเลย. กินไปด้วยมองร้านฝั่งตรงข้ามไปด้วย(น่าจะกินร้านตรงข้าม5555ร้านโบ้ทน่ะ)  

กินข้าวหมูแดงธรรมดาจ้า

เสร็จก็เห็นมีของหวาน เลยจัดลอดช่องนมสด ซึ่งมันมีเฉากวย ด้วย ถั่วแดงด้วย

ไม่อร่อย. บอกเลย. ถั่วแดงแข็งมากเหมือนเอามาจากถุงธัญพืชตามห้างเลย. ลอดช่องก็เหมือนแบบทำแล้วแช่ค้างคืน ตัวลอดช่องเลยแข็ง   นมสดคือข้นจืดเลย. 

พอๆๆๆ. ไม่มาอีกนะ. ไปกินโบ๊ทดีกว่า.",wongnai,6,"ชม:ดี; 555; ยืดอักษร; ชม+แย่:รอ,ไม่มา",1,ชมแล้วสื่อว่าแย่จริง เช่นไม่มาอีก,1,LLM ว่าประชด — ผู้สมัคร positive
,"ร้านไอศครีมเกล็ดน้ำแข็ง ตกแต่งด้วยไม้ บรรยากาศสบายๆ มีทั้งโซน in door / out door ให้เลือกนั่ง  อยู่ใจกลางย่านนิมมานเลยย 

รสชาติ :⭐️⭐️⭐️  ???????? พอใช้ได้คะ แต่สิ่งที่ดึงดูดคือความแปลกใหม่ไม่เหมือนใคร เช่น เมนูที่ทานนี่คือ egg yolk lava เป็นไอศครีมเกล็ดน้ำแข็งรสโยเกิรต์ ท้อปด้วยกีวี่ วิปครีม และไข่แดงสดๆ 1 ลูก สำหรับคนไทยส่วนใหญ่คงจะแปลกใจกับการทานไข่ดิบกับไอติม???? (เห้ย! กินได้จริงหรอว่ะเเกรร? / ท้องจะเสียมั้ยว่ะแกรรร? ????) 5555 ไข่คงจะต้องเป็นไข่อนามัยแน่ๆ แปลกดีชอบๆ

ราคา : ⭐️⭐️⭐️ ???????? ราคาก็พอสู้ไหว สำหรับร้านที่ตั้งอยู่นิมมาน เด็กๆทานได้ แต่คงไม่บ่อยเท่าไหร่",wongnai,6,"ชม:ดี; 555; ยืดอักษร; ชม+แย่:รอ,เสีย",1,ชมแต่สื่อว่าแปลกในทางที่ไม่ดี,1,LLM ว่าประชด — ผู้สมัคร positive
,"17 ก.ค.59
จากหนองคายพวกเราขับเลียบไปตามลำน้ำโขง เพื่อมุ่งสู่เชียงคาน ระหว่างทางก็ชมวิวทิวทัศน์ลำน้ำโขงและวิถีชีวิตของชาวบ้านสองข้างทาง
พอถึง ต.สังคม ได้เวลามื้อกลางวันพอดี ก็ต้องเปิดแอพ ""วงใน"" อีกแล้ว อ่านรีวิวไปซักพัก ฏ้ตกลงใจเลือก ""ร้านทานตะวัน""
ไม่รู้ว่าคนอื่นเค้าเปิดแอพ ""วงใน"" เหมือนกับเราป่าวนะ หรือเค้ารู้จักร้านนี้กันดีอญุ่แล้ว...คนเยอะมาก
เหลือโต๊ะว่างฝั่งริมแม่น้ำซะด้วย แต่แหม...แดดส่องร้อนเปรี้ยงเลย ถึงได้ว่างงัย
รอแป๊บนึงมีโต๊ะเช็คบิลพวกเราเลยได้ที่นั่ง ซักพักก็มีลูกค้าทยอยเข้าร้านกันอีกหลายกลุ่ม ต้องยืนรอโต๊ะว่างกัน นี่แหละน๊ะช่วงหยุดยาว หยั่งกับเล่นเก้าอี้ดนตรี
นั่งรออาหารนานมาก ในกลุ่มเรามีทั้งเด็กทั้งคนแก่ แต่ต่างก็อดทนรอกันนะ เข้าใจว่าลูกค้ามากจริงๆ
เฮ้อ...ถ่ายรูปกับวิวไปแล้ว สั่งเครื่องดื่มมานั่งคลายร้อนกันแล้ว ดูดจนหมดแล้ว ก็ยังต้องรอต่อไปอีกนาน...มาก
มาแล้ว...มาแล้ว...ทุกคนตะลึงกับปริมาณอาหารที่เสิร์ฟมามาก
ช่างจัดมาได้น่ารักน่าเอ็นดูจริงๆ นะเธอว์ ถ่ายมาแค่บางจาน จดจำชื่อได้เพียงบางเมนู ครั้งนี้เกือบพันห้า",wongnai,5,"ชม:ดี; ยืดอักษร; ชม+แย่:รอ,นาน,งง",1,ชมปริมาณอาหารน่ารักเสียดสีจำนวนน้อย,1,LLM ว่าประชด — ผู้สมัคร positive
,"????ชั้นสองThe senseปิ่นเกล้า จอดรถฟรี ห้างค่อยข้างร้างเลย ภายในร้านตกแต่งสวย
วันนี้โปรHappy mondayลด10%จากราคาปกติ แต่ไม่มีหอยนางรมฝรั่งเศส ฟิน เดอ แคล ของขาดแบบไม่มีกำหนด มีแต่หอยนางรมสุราษแทน ควรโทรถามค่ะ ที่รีบมานี้ไม่ใช่ไร กลัวฮิตแล้วคุณภาพจะลดลง เลยรีบมาตั้งแต่เพิ่งเปิดดีกว่า ส่วนตัวคิดว่าถ้าร้านขายแพงกว่านี้หรือคุณภาพด้อยลงกว่านี้น่าจะอยู่ยากเช่นกันในทำเลนี้ ถ้าไม่เจาะจงมาทานร้านนี้คงไม่มาเดิน

• เมนูทีคิดว่าอร่อยนะคะ จะมีซุปเห็ดทรัฟเฟิลอันเลื่องชื่อ อันนี้อร่อยจริงสมคำร่ำรือแต่เป็นตัวตัดกำลังเชียวหละทานละอิ่มจุกเลย
อีกอย่างก็คาโบนาร่ากับผัดไทย แล้วก็กุ้งเผา แต่มันกินที่ไหนก็ได้มั้งกุ้งเผาอะ น้ำจิ้มซีฟู้ดทำดีค่ะแซ่บเลย

• ในส่วนของจานอื่นๆ เนื้อ สเต็กหมู หอยแมลงภู่ หอยนางรมสุราษ นั้นเฉยๆ

• โซนอาหารญี่ปุ่น ซูชิ พิซซ่าหน้าแฮม นั้นค่อนไปทางไม่อร่อย ซาซิมิแซลมอนทูน่าแห้งมาก และไม่ใช้วาซาบิสด

• ของหวานที่สั่ง เครปแห้งและจืด สงสัยทำไว้นานไม่อร่อยเลย ช้อคลาวารสชาติโอเค ที่อร่อยคือไอศครีมทุกชนิด นี่สั่งแล้วสั่งอีก ชาเขียวก็เข้มข้นมากไม่หวานดี มะม่วงนั้นอร่อยให้สัมผัสเป็นเนื้อมะม่วง หอมกลิ่นมะม่วง

ทั้งหมดทั้งมวลก็โอเคเฉยๆไม่ได้ว้าวแบบที่คิด ทานไม่คุ้มด้วย ไม่รู้จะทานอะไรอาหารยังถือว่าน้อยไป ก็มาทานให้ได้รู้เพราะทนกระแสไม่ไหวค่า",wongnai,5,"ชม:ดี,ฟิน,คุณภาพ; ยืดอักษร; ชม+แย่:รอ,นาน,ไม่มา",1,เหน็บว่ารีบมาลองก่อนดังแล้วแย่,1,LLM ว่าประชด — ผู้สมัคร positive
,ลองเปรียบเทียบรูปที่ถ่ายมานะคะ ว่าเศษเนื้อที่เสริฟมาเนี่ย แน่ใจนะคะว่ามิยาบิ? หมูกระทะข้างบ้านยังใช้เนื้อดีกว่านี้เลย! ไปกินที่ซีคอนมา ประทับใจมาก ของทอดอร่อยมาก แต่ที่นี่...ดูตามภาพค่ะ บรรยายไม่ถูก ที่นั่งก็แย่ คนขายาวนี่นั่งกีนเมื่อยเลย  ขอเตือนนะคะ สาขาอื่นเถอะ! มาตราฐานที่นี่แย่มากที่สุด!,wongnai,5,"ชม:ดี,ประทับใจ,ที่สุด; ยืดอักษร; ชม+แย่:แย่",1,ชมแต่สื่อว่าแย่เพื่อเหน็บ,1,LLM ว่าประชด — ผู้สมัคร positive
,"มาใช้คูปองที่ซื้อจากแอพวงใน
สะดวก ง่าย ไม่ต้อง พิมพ์ออกกระดาษ หมดปัญหายุ่งยากในการลืมคูปองหรือคูปองหาย 
เพียงแค่มีโทรศัพท์ กดซื้อจากโทรศัพท์ และแสดงหน้าจอ ในวันที่มาใช้บริการ แสนสะดวกง่ายดายมาก
ที่สำคัญ ถ้าซื้อแล้วไม่อาจมาใช้ได้ทันตามกำหนด วงในเค้ายังคืนกลับเป็นเครดิตสำหรับซื้อครั้งต่อไปด้วย 

มาถึงเป็นโต๊ะแรก พนักงานไม่ได้อธิบายอะไร พอดีไม่ได้สงสัยอะไร ก็เลยไม่ต้องคุยกัน 
มีรายการอาหารอยู่ในกระดาษ ต้องการอะไรจำนวนเท่าไหร่ ก็เขียนใส่กระดาษยื่นให้พนักงาน 
พวกเครื่องดื่ม ของหวาน ขนม ไอศครีม บริการตัวเองค่ะ 

วันนี้ขอเลือกดื่มน้ำเปล่าเพราะสัญญากับลูกไว้แล้วว่าจะมีกินน้ำอัดลม เก่งปะล่ะ 

พวกหมูหรือเนื้อ เมื่อเราสั่ง เขาจะเอา ก้อนแข็งๆไปสไลด์ 
ดังนั้นเราจะได้หมูหรือเนื้อที่บาง แต่ยังเป็นน้ำแข็ง 
เราต้องตั้งไว้สักพักเพื่อให้มันละลาย ก่อนที่จะจุ่มลงไปลวกในหม้อ 
สไลด์ให้มาแบบบางมาก ดังนั้นแค่ลวกผ่านน้ำก็สุกแล้ว 

หมูสันคอ มันน่าจะนุ่มที่สุด ปรากฏว่าลวกแล้ว เนื้อสัมผัสออกแห้ง ๆ 
ตอนแรกเข้าใจว่าไม่ได้ทิ้งให้หายเย็นก่อน สั่งมาใหม่ รอให้คลายตัว ลวกแล้ว ก็ยังออกแห้งๆ เหมือนเดิม 

มีอาหารให้เลือกเยอะพอสมควร ทั้งซีฟู้ด เนื้อหมู เนื้อวัว ลูกชิ้น เกี๊ยวต่างๆ ขนมปังอบชีส ไก่ทอด  เฟร้นฟราย 

ผักรวมของที่นี่มีแปลกอยู่อย่างหนึ่ง คือมีเผือกด้วย ปกติคนไทยไม่เอาเผือกมาต้มกินแบบนี้  คาดเดาเอาว่าเจ้าของร้านไม่น่าจะใช่คนไทย 
อุปกรณ์ที่ใช้เป็นสังกะสี ถ้วยอลูมิเนียม คนไทยก็ไม่ค่อยนิยมกัน 
ห่วงเรื่องความปลอดภัย จากจานชามสังกะสี เนื่องจากจะมีสารตะกั่วออกมาจากสีที่ใช้เคลือบ เลยต้องคอยหา ถ้วยที่เสริฟมาเป็นวัสดุอื่นที่ไม่ใช่สังกะสีหรือ อลูมิเนียม 

ขนมปังอบชีส 1 ที่มี 2 ชิ้น
ตอนสั่งบอกเค้าว่าขอชิมชิ้นเดียวก็ได้ค่ะ
อบมาร้อนๆ ชีสยืดๆ แต่ชีสมันจืด ถ้าเค็มอีกนิด จะเริ่ดเลย

ไก่ทอด เมนูนี้สั่งสุดท้าย และไม่ได้กิน แต่โต๊ะอื่นมาทีหลัง ได้กันหมด แหม...มาหงุดหงิดนิดนึงตอนท้าย 
พอตามก็รอสักพัก ทอดมาใหม่ หอมๆ 
กรอบๆ เสียดายที่ไม่มีการหมักรสชาติใดๆเลยออกจืดๆ  ให้มาจิ้มน้ำจิ้มแทน

ถ้าคลุกน้ำปลาหน่อยนะ จะอร่อยมาก เพราะทอดมาได้ดีทีเดียว

ที่นี่ไม่จำกัดเวลากิน ดีจังค่ะ แต่ลูกค้าก็กินแค่อิ่มแหล่ะ เนอะ",wongnai,5,"ชม:ดี,ปัง,เก่ง; ยืดอักษร; ชม+แย่:รอ,เสีย,หาย",1,ชมลูกคลุกน้ำปลาและสารตะกั่วเชิงประชด,1,LLM ว่าประชด — ผู้สมัคร positive
,"✍ 3.8????
      จากแยกบางนา เจอ ถ.กิ่งแก้ว(กม.12) แล้วเลี้ยวซ้ายเข้ามา 3 กิโล เห็นบริษัท Summit Auto Seat ก็เตรียมเข้าขวาเพื่อยูเทิร์น   ร้านอยู่ซอยกิ่งแก้ว14/1 เลี้ยวเข้าไป 700ม.ร้านเป็นตึกแถว1คูหาอยู่ทางขวามือ จอดรถได้หน้าร้านหรือข้างทาง ที่จอดเยอะ 
    
       ร้านจะมีทั้งก๋วยเตี๋ยวและอาหารตามสั่ง ทั้งแบบเป็นกับข้าวและราดข้าว

 ● กระเพราทะเลราดข้าว+ไข่ดาว 47฿ (40+7) ผัดมารสชาติกำลังดี ปลา ปลาหมึก เป็นชิ้นๆ ไม่คาวเลย ปริมาณ…ขออีกนิดจะอิ่มละ(ผช)

 ● กระเพราหมูตุ๋นราดข้าว+ไข่ดาว 47฿ (40+7) เอาหมูตุ๋นของก๋วยเตี๋ยวมาผัดกระเพรา อร่อยนุ่มๆ มันๆ ปริมาณเกือบอิ่ม(ผช)

 ● คะน้าหมูกรอบราดข้าว+ไข่ดาว 47฿ (40+7) อร่อยตามมาตรฐาน ปริมาณเกือบอิ่ม(ผช)
 
      พวกก๋วยเตี๋ยวรสชาติก็ใช้ได้นะครับ แต่ปริมาณจะน้อยไปซักหน่อย พวกเมนูก็ชัดเจนดีนะครับ ชอบตรงไข่ดาวคิดฟองละ 7฿ ดูแฟร์ดี ไม่คิดราคาลงเลข 5 กับ เลข 0  

           หน้าตาและรสชาติของอาหาร 3.9????
           บรรยากาศและความสะอาด   3.5????
           การบริการและความรวดเร็ว   3.6????
                    ราคาและความคุ้มค่า    4.1????
                                    ✍ 3.8????",wongnai,5,ชม:ดี; ยืดอักษร; ชม+แย่:รอ,1,ตั้งคำถามต่อคะแนนเพื่อสื่อไม่พอใจ,1,LLM ว่าประชด — ผู้สมัคร positive
,"ร้านอาหารจีนรสชาติแบบจีนแท้ๆเลยค่ะ อร่อยมาก โดยเฉพาะเต้าหู้ซอสเสฉวนของที่นี่ เข้มข้นสุดๆ เข้มข้นมากสุดเท่าที่เคยกินมาเลย เสี่ยวหลงเปาก็รสชาติดีค่ะ 

พนักงานบริการดี บางวันคนจีนมาใช้บริการเยอะมากค่ะ จะได้บรรยากาศแบบจีนเลย เสียงดังมาก",wongnai,4,"ชม:ดี,สุดๆ; ชม+แย่:เสีย",1,เสียงดังมากสื่อว่ารบกวน,1,LLM ว่าประชด — ผู้สมัคร positive
,ฟูลมูล..เมากันเละ ไม่รุ้ใครเป็นใครถือขวดสไปรท์ขวดเดียวเมาได้ทั้งคืน เงินอะไรสะพัด300 ล้าน ไม่เห็นจะซื้อไรนักหนานอกจากยาแก้ปวด..เฮอะ.,wisesight,4,ชม:ดี; ชม+แย่:นาน,1,เจตนาวิจารณ์งานฟูลมูนพาร์ตี้,1,LLM ว่าประชด — ผู้สมัคร positive
,"ลินาเพิ่งมีโอกาสไปชิมเอง เพราะต้องพาน้องไปลองชุดที่wedding castle ที่เพิ่งย้ายไปอยู่ชั้น3 arena10 บรรยากาศโดยรวมดู modern เน้นสีสันและ prop เราไปกัน 3 คน สั่งอาหารกันแค่ 4 อย่าง ไม่กล้าสั่งเยอะกลัวเพราะเจ้าสาวจะใส่ชุดไม่ได้ --"" รสชาติอาหารจัดจ้านดีค่ะ ทั้งส้มตำ น้ำจิ้มเผ็ดดี เราสั่ง เวรี่ปลาร้า (ปลาร้าสุดๆเจงๆ กินไม่ได้ เลยขอบายจานนี้) เห็ดออริจิย่างจิ้มแจ๋ว (ชอบจานนี้) หมูแดดเดียว แล้วก็ต้มแซ่บหมูคอลลาเจน (อร่อยมาก ใส่คอลลาเจนลงไปรสชาติก็ไม่เพี้ยนค่ะ) ตบท้ายด้วยขนมปังทับทิมกรอบ1 จานยักษ์ โดนไป 800 กว่าบาท ก็ถือว่าราคาตามสถานที่นะคะ ย่านนั้นแพงอยู่แล้น สรุปว่าดีค่ะแต่ไม่ถึงขั้นต้องกระเสือกกระสนไปกินนะคะ",wongnai,4,"ชม:ดี,ปัง,สุดๆ; ชม+แย่:รอ,ไม่ได้",1,ชมบรรยากาศแต่สื่อว่าไม่คุ้มค่า,1,LLM ว่าประชด — ผู้สมัคร positive
,"ร้านเนื้อกระทะเด่นเป็นสง่าอยู่ในซอย ที่นั่งเป็นแบบ outdoor อยู่ใกล้และหลายคนชมเลยเลือกมาทาน

*รีวิวนี้เป็นความคิดเห็นส่วนตัวของคนเขียนเท่านั้นนะคะ*

พอเข้ามานั่งก็ต้องผิดหวังตั้งแต่เห็นไลน์บุฟเฟต์เลย มีให้น้อยมากๆ อย่างละนิดละหน่อยทั้งที่คนเต็มร้าน และที่นั่งเพียบ ทำใจเลือกๆมาทาน เนื้ออะไรก็ไม่อร่อยนัก บางอย่างคาวซะด้วยซ้ำ
ที่พอปลอบใจบ้างคือไลน์ไอศรีมที่มีหลายรสมากกว่าที่อื่น แต่ก็หมดไปเยอะอยู่ดี กับไก่ทอดที่อร่อยถูกปาก

ก่อนจะกลับกว่าจะคิดตังค์ได้ก็ลำบากเหมือนกัน พนักงานเดินกันอยู่คนเดียว แถมบางช่วงมองไปก็ไม่มีใครอยู่

ค่าเสียหาย 413 ถือเป็นบุฟเฟต์ที่ถูกมาก แต่ยอมให้แพงขึ้นแล้วดีกว่านี้หน่อยดีกว่า
ยังไงก็จะไม่กลับมาแล้ว ต่อให้เกิด zombie outbreak แล้วร้านนี้รอดเป็นร้านสุดท้ายก็ตาม",wongnai,4,"ชม:ดี; ชม+แย่:รอ,เสีย,ผิด",1,ชมน้อยแฝงติเน้นติตรงๆ,1,LLM ว่าประชด — ผู้สมัคร positive
