text,source,label,note
ร้านนี้เพิ่งเปิดตัวได้ไม่นาน เป็นร้านที่ตกแต่งน่ารักๆ ถ่ายรูปก็สวย มี2ชั้นด้วย เมนูร้านนี้ก็มีหลากหลาย ทั้งที่เป็นซิกเนเจอร์ และก็กาแฟดริ๊ปที่สามารถเลือกเมล็ดได้ถึง 3 อย่าง อต่วันนี้จะ เจ้าของร้านเป็นกันเอง ใส่ใจในการชงกาแฟเป็นอย่างมาก ยังไงก็ลองมากันได้,wongnai,0,
คือรูปที่อยู่ในกรอบสีม่วงคันที่ 4 นับจากซ้ายไปขวาและแถวที่ 2นับจากแถวล่สงขึ้นบน #รักฮอนด้า,wisesight,0,
ร้านตั้งอยู่ในซอยที่เล็กมากๆข้างโรงพยาบาลสมเด็จ ถ้ามาช่วงวันหยุดอาจไม่มีที่จอดรถ เพราะฉะนั้นหลีกเลี่ยงช่วง peak แต่ถ้ามาหลัง 16.00 อาหารอาจหมด เป็นร้านไม่เน้นบรรยากาศ แต่เน้นรสชาดอาหาร สั่งเลยอร่อยทุกอย่าง มีไอติมกะทิให้ฟรี บริการตัวเอง,wongnai,0,
285 อาชา ลีโอ จัดมาชุดโต รอบนี้เฮ้าจ่าย ผุ้สาวขี้เหล้า หน่อยค่ะ,wisesight,0,
สั่งอาหารขั้นต่ำ 150 บาท ค่าบริการจัดส่ง 40 บาทค่ะ,wisesight,0,
รำคาญผ้าอนามัยสัส มึงจะงกกาวไปไหน เหี้ย,wisesight,0,
"ทานชาเขียวกีวี่+ไข่มุกเป็นประจำค่ะ 
ทานกี่สาขาๆก็เหมือนเดิม 
แต่กว่าจะได้ถ่ายรูปก็รู้ตัวอีกที ดูดจ๊วฟๆหมดแล้ว 
ชานมไข่มุกก็หอมค่ะ 
ชาไม่เข้มเกินไป 
ทานแล้วไม่ปวดหัว 
เป็นร้านชาที่เจอเยอะมากและก็แวะทุกทีที่เจอ 
อร่อยครบสูตรค่ะ 
(ไม่เคยเจอไข่มุกบูดเหมือนบางเจ้า)",wongnai,0,
น้องเบื่อเกี๊ยวซ่าาา,wisesight,0,
สิ่งที่โดดเด่นของร้าน yoomoo frozen yogurt เลย ก็คงเป็น yogurt ของทางร้าน  ที่ทำรสชาติออกมาได้อร่อยมาก  มันเปรี้ยวหวานลงตัว เข้ากันได้ดีกับรสชาติของไอศกรีม ที่มีให้เลือกหลากหลายรสชาติด้วยกัน  แต่โดยส่วนตัวชอบรสธรรมดาๆมากกว่า เพราะไม่อ้วนและอร่อยดี,wongnai,0,
ไปกับยิมหรอ,wisesight,0,
ไปๆๆไปลาว,wisesight,0,
แพ้ผ้าอนามัยโซฟีอิดอก เหี้ยมาก ผื่นขึ้นตูดแบบบ ไม่โอเคอะมึง จะทาแป้งก็มองไม่เห็น จะวานแฟนทาให้ก็เกรงใจ5555,wisesight,0,
ถ้าท่านหิวมาก ตาลายคล้ายจะเป็นลม แวะร้านนี้พอช่วยท่านได้ แต่สำหรับผม รสชาติธรรมดาไปนิด ถ้าเทียบกับชื่อร้านและคำแนะนำ ข้าวมันจานใหญ่ดี ทานอิ่ม ไก่เนื้อแน่นแต่รสจืดไปนิด ทำให้รู้สึกว่าอิ่มจนไม่อร่อย แต่ก็ยังมีน้ำซุบต้มยำ ที่มาพร้อมกับข้าวมัน รสดีเลยละ เอาเป็นว่าถ้าผ่านมาก็แวะทานได้ แต่ไม่ต้องดิ้นรนพยายามมากิน เพราะอาจไม่คุ้มค่า (รสมันไม่ถูกปาก กับทุกคนนี่เนอะ),wongnai,0,
เส้นข้างรถนึกว่า,wisesight,0,
ฉีกทุกadผ้าอนามัยที่เคยมี😂😂😂,wisesight,0,
ชุดพี่หมื่นไม่สะดวก ออเจ้าไปได้เลย 😅,wisesight,0,
ต้องจัดเร็วๆนี้ ^_^,wisesight,0,
แมคไก่ทอดน้ำเกลือ ใหญ่ กรอบเต็มคำ,wisesight,0,
ผักกาดขาวไม่มีแล้วหนิครับ,wisesight,0,
"วันนี้สั่ง
s'more dip ราคา 180บาท รสชาติโอเค ช๊อคโกแลตจัดเต็มมาก (ตอนมาเสริฟไม่ค่อยร้อนมาก เวลากินมาชเมโล เลยค่อนข้างแข็งนิดหน่อยไม่มาก) โดยรวมถือว่าโอเคคะ (อาจจะเป็นเพราะถ่ายรูปนานไป เลยเย็น555)
honey toast โอวัลตินภูเขาไฟ ราคา ประมาณ 160บาท (จำราคาไม่ได้) รสชาติโอเค ไอติมช็อคโกแลตอร่อย ผงโอวัลตินจัดหนักมาก (ใครไม่ชอบกินโอวัลตินก็สั่งแบบธรรมดาได้)",wongnai,0,
Mazda มีเเบบนี้บ้างไหมครับ,wisesight,0,
ออเจ้า... คุณพี่ภาพ..นี้...อยากกินเบียร์ช้าง....ต้องไปจัดซะ...ให้หายอยาก..สัก...10..ขวด,wisesight,0,
หนูหิววววว,wisesight,0,
เฟ้นฟายเจ้านี้อร่อยดีครับมีให้เลือกหลากหลายสูตรทั้งสูตรซาวครีมสูตร-ที่สำคัญปกติผมจะไม่ค่อยชอบเฟร้นหรายที่เป็นเส้นใหญ่เนื่องจากมันจะไม่ค่อยกรอบเท่าไหร่แต่เจ้านี้ทอดออกมาได้กรอบอร่อยดีใช้ได้เลยครับที่สำคัญราคาไม่แพงแล้วให้เยอะถือว่ากินเอาอิ่มได้เลยนะครับนี่,wongnai,0,
"ร้านนี้เป็นร้านที่ถูกแนะนำต่อๆกันมาสำหรับใครที่มาเที่ยวเกาะช้างต้องไม่พลาดแวะร้านนี้ อาหารทะเลราคาปานกลาง บริการดีเป็นกันเอง อาหารรสชาติอร่อย
แต่ใครที่มาช่วงวันหยุดยาวเทศกาล ต้องอดทนใจเย็นนิสนึงนะคะ เพราะคนมาทานเยอะมาก แต่นอกนั้น็โอเค ประทับใจค่ะ",wongnai,0,
ออกทริป ตจว ไม่เคยทานที่ไหนซ้ำ สองครั้งนอกจากทริปนี้ อิ่ม อร่อยมาก จานแรกทานเล่น ปลารากกล้วยทอด ตามด้วยไม่สั่งไม่ได้ ยำผักกูด กับผัดผักกูด ต้มยำปลาคัง ฉู่ฉี่ ปลาคัง ผัดเห็ดน้ำมันหอย ทุกอย่างที่พูดมานี่สั่งสองจานหมดเลยครับ แถมวันกลับ ยังตามไปซ้ำเมนูเดิมอีกครับ  ย้ำอีกครั้ง มาสวนผึ้ง ต้องไปทานร้านนี้ครับ,wongnai,0,
โดนไปพันนึง,wisesight,0,
"ใครจะไปคิดว่าเราจะหาร้านอาหารแบบนี้ได้ภายในวัด เพียงแค่เดินออกมาที่ริมน้ำ
ร้านนี้มีเมนูให้เลือกมากมาย เหมือนกับร้านอาหารดีๆทั่วไป 
รสชาติอาหารของที่นี้ ผมให้ผ่านนะครับ อร่อยถูกปากทุกรายการ
การบริการ อันนี้ก็ให้ผ่านเช่นกัน
สถานที่ ก็ให้ผ่านครับ เราสามารถทานอาหารไปชมวิวไปได้อย่างเพลิดเพลิน 

ให้ 3 ผ่านครับ",wongnai,0,
รักษามะเร็งด้วยธรรมชาติบำบัด แม่ชีศันสนีย์ แห่งเสถียรธรรมสถาน,wisesight,0,
ตื่นสายๆ ในวันสบายๆ มาหาหนังดูมากินข้าวเที่ยงด้วยเลย เดินหาในอเวนิวเห็นร้านนี้อยู่ตรงมุมสุดของชั้น เป็นบุฟเฟ่ต์ปิ้งย่างและชาบู ผมมาเป็นโต๊ะแรกของร้านพนักงานยังเตรียมของกันอยู่มียกของมาเติมเรื่อยๆ ที่ตักมาเยอะน่าจะเป็นหมูหมักเพราะนิ่ม กินง่ายสุด ไม่เหนียว ไม่เย็นจนชืด โดยรวมถือว่าโอเคกับราคาได้กินครบทุกอย่าง,wongnai,0,
ต้องเคยมีคนสับสนระหว่างโออิรันกับเกอิชาแน่เลย เพราะงั้นวันนี้จะพามารู้จักกับโออิรัน โสเภณีของญี่ปุ่น บอกเลยว่าเป็นโออิรันที่ต้องขายทั้งร่างขายทั้งศิลป์ก็ว่ายากแล้ว แต่เป็นคนซื้อบริการโออิรันนั้นยากกว่า,wisesight,0,
"รสชาด B
คุณภาพวัตถุดิบ A
บริการ A
บรรยากาศ C+
ราคา C
ได้ยินเด็ก5ขวบพูดผิดหวังเมื่อเดินไปที่ตู้แฮปปี้มีลแล้วชุดของเล่นหมด การตลาดเค้าดีมากเลยนะ เด็กสนใจเข้ามากินที่ร้านยังไม่พอ ตอนกลับยังมีชุด HAPPY MEAL ให้ผูกพัน ให้กลับมาเป็นสาวกอีก",wongnai,1,
เป็นร้านเล็กๆ แต่คนเยอะมีเมนูให้เลือกเยอะมากส่วนตัวคิดว่าเหมาะกับอาหารเช้านะ เน้นไข่เกือบทุกเมนูมีข้าวต้ม ต้มเส้น โจ้ก ด้วย รสชาติก็อร่อยดีมีแบบทรงเครื่อง ส่วนตัวคิดว่าขนมปังแข็งเกินไปแต่กุนเชียงกับหมูยอข้างในอร่อยมาก สิ่งที่ชอบคือชาเขียวโบราณ หอมชามากๆ ไม่หวานด้วย ที่จอดรถหน้าร้านไม่มีนะแต่จอดวัดจ้างๆได้,wongnai,0,
จากใจเลยครับ เพราะรัฐขาดรายได้ โรงงานยาสูบอยู่ไม่ได้ สั้นๆ จบนะ #จะรณรงค์ให้คนเลิกบุหรี่หาพระแสงดาบเลเซอร์หรอ ? #จะมีวันงดสูบบุหรี่ เพื่อ ?,wisesight,1,
"ก็เพราะตั้งกฎแบบนี้ ฟูจิเลยได้แค่ 3 ดาวในวันนี้ จริงๆเมนูที่ชอบๆก็กินบ่อยแล้ว วันนี้เลยลองเมนูที่ไม่เคยลอง

เมนูใหม่สปาเก็ตตี้ไวท์ซอส+แซลมอน เส้นเหนียวมันดี แต่ซอสครีมเลี่ยนมากๆ ฟูจิทำอาหารอิตาเลี่ยนไม่ได้จริงๆ

สลัดยำอโวคาโด้ อร่อยค่ะจานนี้ เสียดาย อโวคาโด้น้อยไปนิด

เมนูอื่นๆรสชาติดี",wongnai,0,
555 สก อ่าาา555,wisesight,0,
ร้านกาแฟดีๆๆ ไม่คิดว่าจะเจอในที่แบบนี้. ร้านเปิด 7:30 แต่พนักงานจะมาก่อนสุดเจ็ดโมง เมล็ดกาแฟมีให้เลือกหลายชนิด  มีกาแฟcold drip สุดแสนอร่อย มาที่ร้านนี้ต้องกินกาแฟ ทางร้านก้อมีขนมเค้ก วาฟเฟิล บราวนี่ขาย. เค้กมะพร้าวอร่อยวช้ได้,wongnai,0,
"ไปกินกับครอบครัว  ช่วงสงกรานต์ คนก็เลยเยอะ แต่ร้านก็ทำตามคิวดีคะ เจ้าของร้านอาจดูห้าว ๆ หน่อย น่าจะเป็นเพราะไม่มีลูกจ้าง SME ของแท้ 
อาหารทะเลสดอร่อย ราคามิตรภาพ ไม่มีสนามเด็กเล่นให้เด็ก แต่มีทรายละเอียด ๆ ให้เด็กแท้
สรุปให้ 4 ดาวนะคะ เพราะยังไม่ได้ลองปู",wongnai,0,
"ร้านอยู่ในซอยเอกมัย มีที่จอดรถ สะกวดสบาย มีทั้งอาหารเเละเบเกอรี่ มีทั้งโซนในร้าน เเละโซนนอกร้าน เเต่วันที่ไปฝนตกเลยต้องนั่งโซนในร้าน บรรยากาศเหมาะสำหรับการนัดคุยกับเพื่อนๆหรือนั่งพักผ่อนอ่านหนังสือ

อาหารที่สั่งมียำปลาเเซลม่อน สปาเกตตี้ เครป คัพเค้กชอค รสชาดอร่อยดีค่ะ ราคาอาหารอยู่ที่ 280 up 
เเอบผิดหวังกับยำปลาเเซลม่อนจานเล็กมากกกก เเต่บรรยากาศดี พอให้อภัยได้ค่ะ",wongnai,0,
ก๋วยเตี๋ยวเนื้อตุ๋น เนื้อเปื่อย อร่อยมาก เนื้อไม่เหนียวเหมือนเจ้าอื่นๆ รสชาติดี น้ำซุปอร่อยมากๆ ได้้ยอะ ชามละ 35-40 บาทขึ้นไป สามารถสั่งเนื้อตุ๋นเปล่าๆมาทานเล่นได้ด้วยนะคะ ร้านเหมือนร้านก๋วยเตี๋ยวทั่วไปจ้า,wongnai,0,
โออิชิราเมน สาขาโรบินสันราชบุรี ร้านราเมนที่มีเมนูเยอะแยะ ทั้งราเมน เบนโตะ รสชาติใช้ได้เลยทีเดียว ร้านค่อนข้างนั่งได้สบาย มีโต๊ะเยอะเหมือนกัน รอไม่ค่อยนานเท่าไหร่ โออิชิมักจะมีเมนูประจำเดือนใหม่ๆให้ลิ้มลองเรื่อยน่าสนใจดี,wongnai,0,
"มีโอกาสได้เข้าอุดหนุนร้านนี้เมื่อตอนไปเที่ยวที่ท่าม่วง เลยแวะทานเครื่องดื่มเย็นๆสักแก้ว

เลยเลือกเป็นโกโก้ปั่น
รสชาติค่อนข้างแปลกจากโกฌก้ที่อื่นอย่างมาก
ไม่ค่อยถูกปากเท่าไหร่ครับ

แต่พูดถึงเรื่องบรรยสกาสร้านนั้นโอเคมาก
เหมาะแก่การนั่งชิล ชมวิวแม่น้ำโขงสวยๆ",wongnai,0,
เส้นเล็กน้ำ ซุปกับเส้นเข้ากันได้ดีมาก เส้นเหนียวน้ำซุปหอมหวาน สมคำลำรือ ร้านข้างๆก็อร่อยกุยช่าย เมี่ยงก๋วยเตียว อร่อยเหาะ ราคาไม่แพงแต่ปริมาณเยอะสมกับราคาที่ให้มาในรีวิว เสียดายอากาสร้อนไปหน่อย ถ้ามาบ้านบึงต้องลองดูครับ,wongnai,0,
ร้านนี้สีหวานมาก เข้าไปในร้านนี่ชมพูทั้งร้าน สายหวานต้องจัด มีพร้อบต่างๆให้ใส่ถ่ายรูปด้วย เราสั่งเมนูสตรอเบอร์รี่ชีสเค้ก อารมณ์ประมาณเกล็ดหิมะแหละ 99 บาท ก็ถือว่าถูกอยู่ รสชาติก็อร่อย ไม่เลี่ยน พนักงานน่ารัก ดูเทคแคร์ลูกค้า,wongnai,0,
เอามาทำได้หมดทุกยี่ฮ้อแหละครับมีทั้งครัมมรี่ นิสสัน ฮอนด้าซีวิคเนี่ยผมเห็นตั้งแต่มีรุ่นซีวิคปี2010แล้วครับตอนนั้นผ่านมา7-7ปียังไม่เห็นจะมีข่าวเลยแล้วนี่อะไรกันผมเห็นจนเบื่อแล้วคือทำได้หมดครับแต่ต้องปรับมิเตอร์ให้ตรงกับมาตรตราฐานขนส่งครับ,wisesight,0,
ที่สงสัยยอด Revo ถึงแสนเลยเหรอตอนนี้บนถนนเห็นแต่ฟอร์ด 😊,wisesight,1,
“สิงห์” ระดม 2 แบรนด์ใหม่เจาะตลาดพรีเมี่ยม เขย่าตลาดเบียร์ 1.8 แสนล้านเดือด รับหน้าขาย ส่งเบียร์ “สโนวี่ฯ” พร้อมนำเข้า “โครเนนเบิร์ก” เจาะไลฟ์สไตล์คนรุ่นใหม่ คาดเปิดตัวราคาเบา ๆ 60 บาท ชนไฮเนเก้น/เบียร์นำเข้า,wisesight,0,
ซื้อมาลองอีก ตอนแลงหนิ 😂😂,wisesight,0,
อยากกินชีสเหมือนกัน5555,wisesight,0,
ป่ะคุณสา,wisesight,0,
"ร้านนี้อยู่ในฟูดคอทของโรงพยาบาลบำรุงราชฎร์ค่ะ อยู่ชั้นลอย 
ที่ฟูดคอทนี้ราคาค่อนข้างสูงค่ะ บางอย่างเท่าในโรงแรมเลย เช่นข้าวกระเพราไข่ดาว จานละ135บาท ข้าวผัดกุ้ง120บาทค่ะ ส่วนร้านข้าวแกงราคาไม่สูงมากเท่าอาหารตามสั่งค่ะ ราดข้าวรวมแล้ว50-80ค่ะ สั่งเป็นกับข้าวอย่างละ60-70ค่ะ รสชาติบางอย่างก็อร่อย บางอย่างก็พอทานได้ค่ะ เหมือนทั่วๆไป",wongnai,0,
คือผมสายฮาร์ดคอร์อยากได้แบบ4*4เกียร์ธรรมดาตัดออพชั่นสารพัดลงไห้ราคาพอๆกับนาวาร่า4*4เกียร์ธรรมดา แต่เชฟฯมีแต่ออโต้ตัวท๊อป,wisesight,0,
แอป shopee 20 ml เห็นขายอยู่ 389 น่าจะแท้นะคะเพราะเคยสั่งยูเซอรีนมาใช้แท้อยู่คะ,wisesight,0,
ไม่ใด้ครับรายใด้หลักเค้ามาจากตรงนี้,wisesight,0,
จิบเบียร์ช้างเพิ่มความลงตัวในทุกรสชาติร่วมกับเมนูโปรดแลฟินกับรูม39ด้วย,wisesight,0,
ร้านอาหารญี่ปุ่น. แบบเน้นความอร่อยจากความสดของวัตถุดิบ  แบบในการ์ตูนทำอาหานที่ได้อ่านๆกันมานั่นแหละ. กะหลึ่าปลีซอยที่นี่อร่อยที่สุด. ปลามาคุโร่สดๆ. ไม่แช่แข็ง. อร่อยมากก. พวกปลาแช่แข็งสู้ไม่ได้เลยจริงๆ. ขอให้มาลอง. #แต่วันนี้ของหมดอดกิน,wongnai,0,
"อันนี้กินรอบที่เท่าไหร่ไม่รู้ที่สาขาปิ่นเกล้า

ครั้งแรกที่ทานสาขาเดอะมอลท่าพระ รู้สึกว่าครั้งแรกอร่อยที่สุดแล้วนะ ใส่เครื่องจัดหนักจัดเต็ม ชีสเป็นชีส แต่เดี๋ยวนี้ไม่ค่อยเหมือนเดิม กินไปกินมาก็เฉยๆเลยนะ ความรู้สึกแตกต่างจากครั้งแรกที่ทานมาก????",wongnai,0,
เมียมึงแดกช้างไอ้สัส,wisesight,X,
"ชวนเด็กๆมาทานไก่ เพื่อสนองความต้องการของตัวเอง อยากช็อปด้วย แต่เดินคนเดวมันไม่มันส์
มหกรรมเลี้ยงไก่หลานๆจึงเกิดขึ้น
จัดชุดจุใจ 299 + 99฿เพิ่มไก่อีก4ชิ้น
คุ้มมากขอบอก อยากรุ้ชิมิว่าทานกี่คน
เด็กโต2 ผญ.1 เด็กเล็ก1 ถามว่าหมดมั้ย??
หมดคร่า ก้อไก่กรอบๆ.หอมๆ กรอบนอกนุ่มในเนื้อแน่น อร่อยแบบนี้หลงรักแบรนด์ไก่ทอด
แบรนด์นี้ตั้งแต่เด็กยันผู้ใหญ่เลยคร่า",wongnai,0,
ร้านอยู่ในซอยราม 164 เข้าไปเลยแยกแรกทางซ้ายมือไปอีกนิด ร้านอยู่ริมถนนด้านซ้ายมือ จอดรถริมถนน (แล้วแต่ดวงล่ะครับ) ร้านแต่งเหมือนแหล่งความรู้เรื่องกาแฟ มี free wifi ร้านมีกลิ่นหอมของกาแฟกรุ่นๆ ชอบครับ กาแฟวันนี้สั่งลาเต้ ส่วนตัวผมชอบนะ รสนุ่มไม่ต่างจากตาบัค ราคาเพียง 55 บาท ผมว่าโอเคนะ แพงกว่านี้ก็จะเกินงบ,wongnai,0,
ร้านนี้รุ่นพี่ปลื้ม จึงพามาทาน เจ้าของร้านคนญี่ปุ่น ร้านตกแต่งสวย บรรยากาศดี มี2ชั้น ชั้นบนเป็นโอเพ้นแอร์ ในร้านคึกคักน้องพนักงานตะโกนต้อนรับอย่างต่อเนื้อ อาหารที่สั่งพวกย่างๆทั้งหลาย ไข่ม้วน ยากิโซบะ แคลิฟอเนียโรล พิซซ่า จัดว่าอร่อยเลย แต่บางอย่างอาจเค็มไปนิด ของหวานอร่อยดี ราคาตามคุณภาพนะ น้องๆบริการดีนอบน้อมแจ่มใส ใส่ขาสั้นทุกคนเบย ยกเว้นผุ้ช.,wongnai,0,
ร้านหมูสองชั้นสาขาทิพยเนตร ราคาบุฟเฟ่ต์รวมเครื่องดื่ม 189.- บาท มีของสดเยอะแยะมากมาย ทีเด็ดใส้ต้มไม่คาวไม่ขม หมูสันคอสไลด์ เนื้อนุ่ม จุ่มซอสพอลซึสูตรพิเศษของทางร้าน อร่อยลงตัว ของว่างเป็นไอศรีมไอเฟรช มะม่วง ชาเขียว ชาเย็น ก็ดีค่ะ,wongnai,0,
"ร้านกระเพราเป็ดชื่อดังของชลบุรีตั้งอยู่ใกล้ตลาดไฟฟ้า ,, ที่เลื่องชื่อไม่ใช่เพราะอาหารอร่อยเพียงอย่างเดียว แต่ความเยอะของเงื่อนไขในการนั่งโต๊ะ การสั่งอาหาร และเจ้าของร้าน แต่ส่วนตัวจากที่เคยกินเมื่อประมาณ2ปีที่แล้วสัมผัสได้ว่าเจ้าของร้านดูซอฟลง ทำให้บรรยากาศในการกินนั้นไม่ตึงเครียด เข้าเรื่องอาหาร มาร้านนี้เมนูที่ต้องสั่งไม่พ้นกระเพราเป็ดไข่ดาว ได้เนื้อเป็ดเน้นๆ",wongnai,0,
ขอไก่ตัวนะ,wisesight,0,
ผัดน้ำเพรา แยกกระมัน เอ้ย,wisesight,0,
กุหิวแล้วว555555,wisesight,0,
มากินอาหารที่นี่ครั้งนี้เป็นครั้งที่สอง รสชาติยังคงอร่อยรสจัดเผ็ดสะใจเหมือนเดิม ครั้งนี้ลองสั่งมา 3-4 อย่างเพราะมาแค่ 2-3 คน กลัวจะกินไม่หมด ที่สั่งมีแกงส้มไข่ปลาริวกิว เนื้อปูผัดผงกะหรี่ ตับปลาทูทอดกระเทียม สรุปอร่อยทุกจาน ที่สำคัญคือราคาเป็นกันเองไม่แพงเลย แนะนำค่ะ...ต้องมาลองถึงจะรุ้!!!,wongnai,0,
ร้านอาหารสไตล์ภาคเหนือ ถ้าไม่เคยลองไม่ควรพลาด เรากินเห็ดเผาะครั้งแรกก็ร้านเน้ หลายๆเมนู ครั้งแรกร้านนี้หมดเลย มาเดินช็อบปิ้ง พอหิวก็จัดเลยจ้า อาหารสั่งแล้วรอไม่นาน พนักงานบริการดี บรรยากาศในร้านตกแต่งสไตล์ล้านนา,wongnai,0,
ร้านอาหารนี้ตั้งอยู่ติดถนนใหญ่ ก่อนถึงพุทธมณฑลสาย 5 ขาออก ร้านดูดี ห้องแอร์เย็นสบาย มีก๋วยเตี๋ยว อาหารตามสั่ง กาแฟสด ราคาไม่แพง มีอาหารแบบเป็นเซ็ตด้วย สามารถจอดรถข้างทางได้ เปิดเพลงชิว ๆ สไตล์ร้านกาแฟ ใครผ่านไปมาอย่าลืมแวะทานครับ,wongnai,0,
ไม่น่าถามนะ😁,wisesight,X,
เอาบาบีก้อนภูเก็ตคืนมา,wisesight,0,
เห็นเปิดใหม่ ก๋วยเตี๋ยวเรือเมย์ ร้านน่านั่งแต่งร้านดี แต่ไม่เห็นมีลูกค้า คงเริ่มใหม่ แต่พอสั่งไป และกากหมู ไม่กรอบหืนไป. ผักบุ้งลวกแอบแพงนะ 15 บาทถ้วยนิดเดียว จริงๆรสชาติอร่อย แต่พอน้ำก๋วยเตี๋ยวไม่ร้อนจัด เลยจบเลยค่ะ หน้าตาดีอยู่ เดี๋ยวจะกลับไปลองใหม่อีกทีคงจะร้อนแล้วนะ น้ำก๋วยเตี๋ยวอ่ะคะ,wongnai,0,
ไปจ้าอาทิตหน้าเลย,wisesight,0,
ต้องสั่งเบียร์ช้างกี่ขวดถึงจะได้เธอมานั่งด้วย ว้ายๆ 😉,wisesight,X,
"ขับรถไปสันกำแพงเมื่อไรเป็นต้องแวะที่กาดเจริญ เจริญหาของกิน และหนึ่งในนั้นก็เป็นร้าน""ปัง..อินดี้""นี่แหละที่หยิบจับง่ายเพียงชิ้นละ20บาทมีให้เลือกหลากหลายรสชาติ แถมอบกันสดๆชนิดว่าพึ่งออกจากเตากันมาเลยส่วนตัวลองมาหลานรสชาติก็ผ่านหมดทุกเมนูนะครับ ไปเที่ยวหาเพื่อนฝูง,ญาติผู้ใหญ่ก็คละรสไปเป็นของฝากได้ง่ายดีครับ",wongnai,0,
เปลี้ยวข้าหั่นศพ ไม่เห็นใส่กุญเจมือเลย อันนี้แค่มีบุหรี่ไฟฟ้า จัดหนักเลย,wisesight,1,
ร้านหาง่าย พออกจากนอร์ทปาร์คไปทางธุรกิจบัณฑิต เลยวงเวียนจะอยู่ด้านซ้าย มีที่จอดรถแต่น้อยไปนิด ที่นั่งมีแบบ Outdoor และแบบห้องแอร์ อาหารเน้นพวกผัดกระทะร้อน เช่นหอยทอด ขนมผักกาด ผัดไทย แต่หากจะทานอาหารตามสั่งก็มี สำหรับผัดไท เป็นสไตล์ผัดไทยห่อไข่ ให้จานใหญ่แต่ราคาก็ค่อนข้างสูง รสกลมกล่อมให้ผักเคียงเยอะ ที่ชอบอีกอย่างคือผัดแห้งไม่แฉะและเส้นก็ไม่แข็งด้วย,wongnai,0,
ไม่มีค่ะ,wisesight,0,
